"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation"
"BFA","BF",599,5367,5367,50088,-0.8603645,14.2293346,1,,"",2004,,,35,1,35,0,35,1,2,2369,0.0285714285714286,0,0.0285714285714286,0.0531382364266461,49140.2759890052,0,0,0,1,15.2872662796257,15.1505127885758,79.7258725403668,0.136752010308491,4.9868631964213,68.6990388700303,47.510227945319,11.0441875550994,21.1888119923601,20.2567733171111,33.7404008102417,346.917925424154
"BFA","BF",594,5345,5345,10157,-0.96667,11.18333,1,,"",2013,,,160,1,160,2,0,0,1,18708,0.00625,0.0125,,,16317.0472180861,2,2,2,3,17.2084871872401,17.0668936014788,82.0065354008666,0.141593951175151,0.784976065872246,70.8316249351861,65.851088293778,3.38042342193839,4.98053463039722,25.7879536150634,39.3104003317697,263.498399679994
"BFA","BF",599,5370,5370,50160,0.7535821,13.2250153,1,,"",2004,,,60,3,60,0,60,0,2,2377,0.05,0,0,0.0471698113207547,56041.002821283,5,5,5,5,21.8249880817077,21.6713023089576,74.3085137405046,0.153685503192841,3.86649744767498,67.0689428956529,58.6056001153873,5.64826145964341,8.46334557260866,27.2827940592448,28.1640002354213,253.946910791726
"BFA","BF",600,5371,5371,50064,-2.8834,9.8188,3,,"",2004,,,60,9,60,0,60,0,2,2378,0.15,0,0,0.141509433962264,40183.9978972934,6,6,6,6,4.28995860181126,4.04924870474969,95.196540497708,0.240709710497597,0.513501710765963,77.0448056652565,70.0534905250398,1.73218163368347,6.99131559827279,21.2230141326452,23.5562849317278,273.096143999989
"BFA","BF",600,5374,5374,50102,-2.9489,10.1684,3,,"",2004,,,64,5,64,0,64,2,2,2381,0.078125,0,0.03125,0.100880748820755,40183.9978972934,7,7,7,7,6.76269161396351,6.42479228377385,92.3213424131518,0.337899504170191,0.915968080450222,75.8828019947061,53.7336800455095,8.46581132794902,22.149121130342,15.6513878191439,27.4118271557758,294.611104000001
"BFA","BF",593,5337,5337,10151,-2.3812334,12.2180042,2,,"",2013,,,160,2,160,0,0,0,1,2390,0.0125,0,,,17004.3342549174,10,10,10,8,39.8108173400487,39.2070409384356,59.6577012743301,0.603779023883781,0.531479463965554,86.9579494134226,83.4988206661595,0.0680667478706457,3.45912793857378,12.97398473453,271.415206263951,287.431661723966
"BFA","BF",596,5355,5355,50109,-3.6876803,11.6207692,1,,"",2004,,,60,0,60,0,60,0,2,2357,0,0,0,0,27458.2338243446,12,12,12,9,44.2630495762068,44.0627893804601,55.6056355712464,0.200260350664035,0.131316170647816,37.6818623044334,32.5779489294503,29.003672054149,5.10391359715635,33.3144652718204,41.2112014923096,307.194177872129
"BFA","BF",588,5312,5312,50070,-3.4318022,11.760385,1,,"",2004,,,58,25,58,1,58,3,2,2278,0.431034482758621,0.0172413793103448,0.0517241379310345,0.443175550066261,32607.4464609826,15,15,15,12,27.0146691050254,26.7880158105536,68.9494083846606,0.226654681507528,4.03591968523545,63.1799101049564,56.5561416512529,1.29378303481958,6.62377066820416,35.5263053276607,41.0039998975481,296.093165377594
"BFA","BF",595,5351,5351,50134,0.60610002,11.0313,3,,"",2004,,,58,2,58,0,58,0,2,2350,0.0344827586206897,0,0,0.0325309043591412,27036.9560382036,17,17,17,14,26.7356735454036,26.3654257594207,68.4275227269805,0.370249772401343,4.83680170374478,63.4551155478827,58.3988823073032,0.664569195105973,5.05622709039139,35.8803198419551,42.8684003601074,209.989802956795
"BFA","BF",591,5329,5329,50132,0.3223896,12.1427273,1,,"",2004,,,61,3,61,0,61,0,2,2296,0.0491803278688525,0,0,0.0463965357253325,8863.81544022027,18,18,18,15,33.719667781664,33.579642390574,62.3005494166769,0.140026599733757,3.97978061663948,64.3487367774171,55.8518629947902,5.1150114376759,8.49687438595457,30.5362490742786,33.3377148808071,320.678674952446
