"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation"
"BDI","BI",706,6389,6389,,29.333333,-2.883333,1,"school","mapping",2014,12,14,50,2,50,3,50,0,1,23394,0.04,0.06,0,0.0920754716981132,7594.08912845082,0,0,0,1,41.7309710883244,40.4491451349232,0.954146211195047,1.2818248185287,57.3148834937409,68.6290420286121,33.4779647447534,1.3858951366231,35.1510778520626,29.9850624178239,253.593608529227,1481.25232002401
"BDI","BI",715,6414,6414,,29.7915,-2.906027778,3,"school","mapping",2016,13,14,50,0,50,9,50,24,1,23577,0,0.18,0.48,0.541132075471698,5574.96527909787,1,1,1,2,52.4843756240017,37.5257992992863,4.03248059641889,14.9585763687211,43.4831418954153,78.2099295325151,64.4624377206741,0.267934790170624,13.7474921692908,21.5221358872916,1126.37670689174,1789.69493059843
"BDI","BI",702,6378,6378,10243,29.438,-3.4523,1,"","",2014,,,47,0,47,12,47,9,1,18499,0,0.25531914893617,0.191489361702128,0.375393971488849,5123.09233844324,2,2,2,3,72.4344448089111,72.3621362968061,0.0910003016504707,0.0723105597699635,27.4745543951269,82.9338199126366,36.7021962117043,0.645938239747055,46.2316219477277,16.420242985476,1176.31318626766,1765.07536000003
"BDI","BI",717,6418,6418,,30.333333,-3.65,1,"school","mapping",2014,12,16,50,1,50,1,50,0,1,23613,0.02,0.02,0,0.0373584905660377,6853.47223831696,3,3,3,4,65.2915744548575,65.1051706637136,0.406348203775178,0.186403623774492,34.3020792353928,63.1439562832629,45.0433311334205,21.5541421131474,18.1006245766909,15.3019010362351,264.594105364118,1243.49996000001
"BDI","BI",710,6402,6402,,30.0882,-2.6908,1,"school","mapping",2014,12,15,50,1,50,2,50,0,1,23476,0.02,0.04,0,0.0558490566037735,0,4,4,5,5,8.76599099926452,8.63318134435941,6.37591535678917,0.132809681552958,84.8580935091571,98.9292086556872,71.8139964759651,0.365169258832176,27.1152140423575,0.705620751351885,408.955827549526,1618.60824000003
"BDI","BI",710,6402,6402,10373,30.0882,-2.6908,1,"","",2014,,,50,1,50,1,50,0,1,18630,0.02,0.02,0,0.0373584905660377,0,5,5,4,5,8.76599099926452,8.63318134435941,6.37591535678917,0.132809681552958,84.8580935091571,98.9292086556872,71.8139964759651,0.365169258832176,27.1152140423575,0.705620751351885,408.955827549526,1618.60824000003
"BDI","BI",709,6396,6396,,29.808,-3.0943,3,"school","mapping",2014,13,14,50,2,50,4,50,0,1,23438,0.04,0.08,0,0.110188679245283,7883.54258880329,6,6,6,6,45.2472695583145,43.8324688530519,8.80719806974732,1.41480211287889,45.945529669219,97.9981504919492,90.0489126673534,0.00491373795749687,7.94923949670794,1.99693603097675,770.527977407102,1612.17744000001
"BDI","BI",717,6419,6419,,30.4327029,-3.2515663,1,"school","mapping",2014,12,16,50,2,50,3,50,0,1,23623,0.04,0.06,0,0.0920754716981132,7487.92794822856,7,7,7,7,31.4228598164279,30.8088717884699,0.178810260965418,0.613987458868592,68.3983300219193,57.8269418566011,47.947144294884,1.1521199028786,9.87979864429003,41.0209381119593,117.745943429104,1557.97086664518
"BDI","BI",705,6387,6387,,30.6339,-3.0634,3,"school","mapping",2014,12,15,50,7,50,0,50,0,1,23371,0.14,0,0,0.132075471698113,0,8,8,9,8,58.1293282025619,57.8424008977291,0.650576469281117,0.286928964681219,41.2200970039834,85.4717560164953,79.6717816452831,1.71663301346278,5.79997422941181,12.8116115010216,160.944543239451,1656.65017600008
"BDI","BI",705,6387,6387,10314,30.6339,-3.0634,3,"","",2014,,,50,6,50,0,50,0,1,2185,0.12,0,0,0.113207547169811,0,9,9,8,8,58.1293282025619,57.8424008977291,0.650576469281117,0.286928964681219,41.2200970039834,85.4717560164953,79.6717816452831,1.71663301346278,5.79997422941181,12.8116115010216,160.944543239451,1656.65017600008
