"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation"
"BEN","BJ",376,3275,3275,,2.631317,6.468061,3,,"mapping",2015,8,14,,,,,,,2,22109,,,,,3034.89309375107,66,66,66,15,54.5650860896757,34.5890458667195,25.2385901795262,19.9760395573243,20.1963234647046,78.4721612091298,9.66009641393796,0.0206859067186109,68.812068141265,21.507152631884,6886.2998046875,9.61027050560013
"BEN","BJ",369,3230,3230,,2.201858,6.410489,3,,"mapping",2015,8,14,,,,,,,2,22219,,,,,1283.8914659029,67,67,67,16,34.2203635209802,31.1304683286836,51.864254225321,3.08989669820803,13.9153802308649,41.6057700371176,26.4500695605007,0.676193236314778,15.1557018002197,57.7180382049056,810.799987792969,9.88304353598694
"BEN","BJ",378,3286,3286,,2.529119,7.035931,3,,"mapping",2015,8,14,,,,,,,2,22167,,,,,7759.45597257102,68,68,68,17,2.97757261257135,2.84831274021041,72.765765016496,0.129259830671284,24.2566640889319,61.9029652041517,1.1107553085764,38.0234332455042,60.7922087381421,0.0736021862892049,216.899993896484,21.6187969616008
"BEN","BJ",372,3252,3252,,2.088772,9.746483,3,,"mapping",2015,8,14,,,,,,,2,22236,,,,,41432.0187398011,69,69,69,18,17.7358377346557,17.2952173215941,75.3059745040123,0.440620689461178,6.9581896063321,66.6463516009837,36.4159512299728,8.18751957283551,30.2304017817696,25.1661276948171,67.8261015128223,318.978759257608
"BEN","BJ",375,3262,3262,,1.922222,6.403333,3,,"mapping",2014,8,14,,,,,,,2,22019,,,,,2687.24006107238,70,70,70,19,12.846172636824,10.6285683712374,50.0102199121845,2.21760344133573,5.14654349666824,60.9820042179641,9.28030455039812,0.0265883830156846,51.7016998502141,6.99434197315714,557.301524762835,6.00006133119405
"BEN","BJ",371,3245,3245,,2.321692,7.898922,3,,"mapping",2015,8,14,,,,,,,2,22231,,,,,8071.01736367957,71,71,71,20,19.3752915806407,18.4798306343097,77.7948749885957,0.895461354351009,2.82983405929475,98.5063131948517,8.91641335590558,1.05821366026096,89.5899017078836,0.435471360578415,67.2926939822432,146.783932236788
"BEN","BJ",376,,17550,,2.5,6.385,4,,"",2000,3,5,140,18,140,53,140,66,3,29139,0.128571428571429,0.378571428571429,0.471428571428571,0.673360745915617,1964.05350986612,72,72,72,21,3.75444017746274,3.75427318272965,4.98874167775793,0.000166977118326654,17.2530839353952,21.5005820674091,0.638272295321398,0.00130822255007965,20.8623105315268,4.49437493283886,445.494993589522,1.85000000000058
"BEN","BJ",376,3267,3267,,2.675617,6.455275,3,,"mapping",2015,8,14,,,,,,,2,22134,,,,,2245.73075706689,73,73,73,22,42.4744197815846,35.1407381467353,33.0216640762895,7.33368274824073,24.5039164144415,46.2592255242903,31.4577730798712,0.595879803856758,14.8014541856386,53.1448931382649,1712.19995117188,4.20934732000009
"BEN","BJ",378,3285,3285,,2.144978,7.437356,3,,"mapping",2015,8,14,,,,,,,2,22175,,,,,8324.77149078283,74,74,74,23,14.0773241688396,13.6756351826053,80.8464995926508,0.401689716829633,5.07617112893851,91.4352051163964,57.3826755401634,0.772036228686672,34.0525294908448,7.79275610278196,62.0999984741211,109.577707238413
"BEN","BJ",376,3268,3268,,2.477278,6.657456,3,,"mapping",2015,8,14,,,,,,,2,22138,,,,,602.870817012695,75,75,75,24,12.1971523589023,11.8032755730628,85.4878010349295,0.393876463428599,2.31504622664949,72.6933897221594,30.3239666303155,7.7634684884904,42.3694267414043,19.543140049465,260.700012207031,2.13718065919941
