"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation"
"BWA","BW",482,4299,4299,10063,26.3113112,-24.0325508,3,,,2015,,,49,0,49,0,49,0,1,2455,0,0,0,0,47922.9954220373,0,0,0,1,52.380329978164,26.6700010520901,30.5227999342622,25.7103270584173,17.0968687718101,98.8605260970116,5.28636245466854,0.625530280824247,93.5741618272456,0.51394230987806,12.8000001907349,949.473120000001
"BWA","BW",481,4298,4298,10058,20.6831788,-26.8668794,3,,,2015,,,46,0,46,0,46,0,1,2449,0,0,0,0,136795.618738248,1,1,1,2,61.1356093829881,24.3898823262363,12.3765307055747,36.7457280694806,26.4878600429543,98.8621009344546,6.83759091836893,0.924288335115339,92.0245123228196,0.213610467236943,0.66973865757079,861.453245564926
"BWA","BW",486,4308,4308,10075,25.69039667,-25.20587333,3,,,2015,,,46,1,46,0,46,0,1,2497,0.0217391304347826,0,0,0.0205086136177194,1450.1092632797,2,2,2,3,64.9826065554645,16.8200724569333,19.3080550559935,48.1625310892296,15.7093409916305,99.9190920307742,0.341529541313758,0.0726746239778804,99.5775645210632,0.00823490996374953,1015.94172250596,1218.60421558817
"BWA","BW",479,4293,4293,10114,27.87153167,-21.978385,3,,,2015,,,48,0,48,3,48,0,1,18742,0,0.0625,0,0.0589622641509433,1246.19547006838,3,3,3,4,66.676276356761,13.9525777623565,15.4710567047883,52.7236994183852,17.8526672301783,88.0551458593757,20.3791059035624,9.15845622577357,67.6760391587925,2.78640015597618,377.244249957415,850.864758489918
"BWA","BW",486,4307,4307,10023,25.94184667,-24.666965,3,,,2015,,,54,0,54,2,54,0,1,2494,0,0.037037037037037,0,0.0349406009783368,3610.1342249912,4,4,4,5,61.0173623478937,27.4878460907232,22.50851840701,33.5295119260662,16.4741209241576,99.8202524531413,1.56568700817409,0.143463438086887,98.2545608519789,0.0362866738276754,193.100006103516,982.135671494318
"BWA","BW",485,4305,4305,10098,23.6407748,-20.1446924,3,,,2015,,,44,2,44,7,44,0,1,18812,0.0454545454545454,0.159090909090909,0,0.186145329798846,30650.9427308944,5,5,5,6,44.0603209472583,19.9829465445411,29.1150712565903,24.0773742226222,26.8246077502636,95.6456055912163,3.36423276547991,4.03250167699319,92.2813717701772,0.321894345865371,1.89999997615814,942
"BWA","BW",486,4308,4308,10076,25.5319754,-25.3688181,4,,,2015,,,48,1,48,1,48,1,1,2495,0.0208333333333333,0.0208333333333333,0.0208333333333333,0.0577424140679594,16465.2518265735,6,6,6,7,60.0313230324132,39.3782007570759,22.1552327079578,20.6531213688436,17.8134449833947,98.3029761550332,5.08560024912665,1.51630190746214,93.2173783683005,0.180720611951433,13.8999996185303,1281.85082364374
"BWA","BW",479,4295,4295,10133,26.4981503,-20.5808072,3,,,2015,,,51,0,51,3,51,3,1,2428,0,0.0588235294117647,0.0588235294117647,0.107723444538748,31088.671570421,7,7,7,8,46.5983703538961,26.1269678266142,34.5515404390372,20.4714012119759,18.8500896843602,97.200490534311,4.73408472083441,1.70762533759239,92.4664045294093,1.09188494279411,4.19999980926514,991.781234558208
"BWA","BW",485,4306,4306,10108,22.3193484,-19.0158991,3,,,2015,,,52,6,52,7,52,0,1,2490,0.115384615384615,0.134615384615385,0,0.221195712850285,25338.0056272807,8,8,8,9,9.08370257414303,4.16590638170229,84.3025760453788,4.91779625248604,6.61371775855404,93.9398855312912,1.87066605655961,5.20049561789298,92.069227497417,0.859614223749158,1.10000002384186,978
"BWA","BW",480,4296,4296,10027,21.64376333,-21.703485,3,,,2015,,,22,1,22,0,22,0,1,18767,0.0454545454545454,0,0,0.0428816466552315,50045.2753277258,9,9,9,10,54.6016964535204,18.2864741832429,26.9622672588459,36.3152231050368,18.4360356220123,99.5148021411516,10.1632325909492,0.356612742605232,89.3515679006058,0.128589371034275,0.800000011920929,1141.7422008
"BWA","BW",487,4310,4310,10036,25.44311667,-25.47561167,3,,,2015,,,52,0,52,6,52,0,1,2507,0,0.115384615384615,0,0.108853410740203,16465.2518265735,10,10,10,11,63.1360202446058,34.3429396181646,17.8942907683144,28.7930838811933,18.9696876022963,97.4668964655354,4.19869921393457,2.24501348104809,93.2681971658641,0.288089425405562,52.2000007629395,1262.98454099792
"BWA","BW",481,4297,4297,10053,21.6027974,-23.413266,3,,,2015,,,49,1,49,0,49,0,1,2444,0.0204081632653061,0,0,0.0192529842125529,74335.0797389295,11,11,11,12,36.9236148637562,18.3075285294031,36.4297985775539,18.6160856079188,26.6465864214194,99.8467248815513,8.62805633253185,0.0933940873213197,91.2186690454257,0.05988206539239,0.5,1192.90808
"BWA","BW",479,4293,4293,10115,27.81451667,-21.98705833,3,,,2015,,,50,0,50,6,50,0,1,18744,0,0.12,0,0.113207547169811,2281.45770851786,12,12,12,13,56.6885662960731,19.1324297112628,19.6711311629306,37.5561349495822,23.640301297848,99.5170766783625,0.92136266720973,0.338678500667096,98.5957153321842,0.144243765122976,241.763712269353,877.202647036001
"BWA","BW",482,4299,4299,10064,26.1315544,-24.3893174,3,,,2015,,,50,0,50,0,50,0,1,2454,0,0,0,0,24943.8047444423,13,13,13,14,60.4885002324313,30.8221974856665,15.1680675746147,29.6663005856205,24.3434333483074,99.1641083406743,2.995914232208,0.280920830295331,96.1681971980644,0.554969240375079,12.8000001907349,978.242739223046
