"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation","longitude","latitude","AnnualPrecip","AnPET","AridityIndex"
"LBR","LR",2754,0,26826,,3,,"mapping",2012,10,14,30,2,30,2,30,0,1,25635,0.0666666666666667,0.0666666666666667,0,0.121593291404612,1686.12447015372,6,6,6,4,27.9144289512984,25.6178844419541,56.458717111609,2.2965442167772,15.6268560857822,65.9164375886436,65.8061300833324,7.60010748413111,0.110309830500812,26.4834572364401,24.1628575019836,120.502203067661,-10.01177778,6.580808056,1302.10291957043,764.965302012885,0.850821513890225
"LBR","LR",2754,0,26826,,3,,"mapping",2012,10,14,30,2,30,0,30,0,1,25636,0.0666666666666667,0,0,0.0628930817610063,210.513804196829,10,10,10,6,46.1428357993195,35.8626293603235,48.0802718213051,10.280204830266,5.77689503346899,60.9539700165129,60.8728244647301,12.9293952536923,0.0811446142678803,26.1166361479526,83.8271140899658,13.6233336000023,-10.36533333,6.25669444,1712.01712820175,740.373892694085,1.15583386398097
"LBR","LR",2751,0,26823,,1,,"mapping",2013,8,14,30,1,30,3,30,1,1,25377,0.0333333333333333,0.1,0.0333333333333333,0.15,273.2089734712,13,13,13,8,26.7354990815987,22.8770794693218,51.7420616374557,3.85841968328981,21.5224384850858,95.6871666334758,95.6581752349007,1.85208714271915,0.0289913819315295,2.46074667267871,27.3662858472552,221.836707999997,-8.1264268,6.0868817,1025.52159821457,787.343903214425,0.65102259290375
"LBR","LR",2751,0,26823,,3,,"mapping",2013,9,14,30,4,30,4,30,2,1,25378,0.133333333333333,0.133333333333333,0.0666666666666667,0.282040531097135,767.719616569284,15,15,15,10,12.4749570675564,11.8715170194421,58.0707769637347,0.603439847936464,29.4542646907629,95.327266898962,95.2925599015782,2.0066411879288,0.034706717187257,2.6660924998792,27.3662858472552,215.304010480004,-8.1449699,6.08675,1025.52159821457,787.343903214425,0.65102259290375
"LBR","LR",2759,0,26831,,3,,"mapping",2013,10,15,30,0,30,6,30,0,1,26108,0,0.2,0,0.188679245283019,211.089283973772,19,19,19,12,30.2562339097362,27.1647869554538,30.1587365027574,3.09144553984121,39.5850297576319,79.4014800588501,79.3864059584727,9.93928872490588,0.0150726015900784,10.6592301000246,59.3860576520647,212.271972480018,-8.01333,5.23296,1382.60320861653,761.392520310375,0.907658089558
"LBR","LR",2751,0,26823,,3,,"mapping",2013,8,14,30,4,30,5,30,3,1,25379,0.133333333333333,0.166666666666667,0.1,0.330188679245283,749.465947242715,22,22,22,14,29.8259933382978,27.1818839273708,44.2751574425227,2.64410895510934,25.8988462414055,94.7751875007429,94.7402389452911,2.24372496176712,0.0349451787176511,2.98109018141685,27.3662858472552,212.063743999999,-8.14043,6.0545,1061.92942827942,787.38052631552,0.67411209335353
"LBR","LR",2749,0,26821,,3,,"mapping",2013,7,14,30,4,30,4,30,2,1,25253,0.133333333333333,0.133333333333333,0.0666666666666667,0.282040531097135,6227.80822053184,24,24,24,15,17.4692336454116,16.7247473710359,75.135297554286,0.74448690217563,7.39546637235833,46.1446414221657,46.080378632438,49.4147651450091,0.064262967857345,4.44059285839031,15.0938285478864,117.477799199998,-9.93441,6.40879,1345.79242955377,757.487244789445,0.888044302025205
"LBR","LR",2746,0,26818,,3,,"mapping",2013,10,14,30,8,30,10,30,1,1,24923,0.266666666666667,0.333333333333333,0.0333333333333333,0.497554157931516,1795.5694195802,26,26,26,17,18.0453247282429,17.5509363867006,75.3262630487215,0.494387787647346,6.62841317881972,94.9970966882429,94.8976366733015,5.00290088526923,0.0994624110062773,2.84355157993576e-13,40.12594405256,36.70490496,-10.88558,6.59872,2086.02837692314,717.90730670121,1.45242153100062
"LBR","LR",2748,0,26820,,1,,"mapping",2013,10,14,30,0,30,0,30,0,1,25180,0,0,0,0,13336.5995072606,27,27,27,18,26.5231879123962,23.8924850894046,64.2766121289212,2.63070254191871,9.20019932363583,55.0736467533893,54.9543452036885,44.9263512205015,0.11930231436598,1.01826626645384e-06,5.0531429108211,311.591002721281,-10.532424,7.4659822,1345.93461914434,789.177451430775,0.85247207557925
"LBR","LR",2759,0,26831,,3,,"mapping",2013,10,15,30,0,30,2,30,0,1,26109,0,0.0666666666666667,0,0.0628930817610063,36.8870246447623,28,28,28,19,28.4400448733323,23.2491658324446,27.5828060381869,5.19087985794243,43.9771501212727,63.1490049781946,56.3810952324993,36.8509940431294,6.76791031882865,1.87057914828052e-06,8.71737160437448,208.092736000008,-7.88258,5.1964,1302.48926816089,764.83239844559,0.85121671343896
"LBR","LR",2756,0,26828,,3,,"mapping",2015,10,14,50,2,50,0,50,0,1,22469,0.04,0,0,0.0377358490566038,1719.11171402369,31,31,31,21,43.972851430932,20.6999672503925,51.9336848540514,23.2728841599149,4.09346454565061,98.6096632092843,97.9184312545766,1.35326251745589,0.691231807570741,0.0370750072859788,203.199996948242,17.8599763200064,-10.79938,6.43553,2115.33333333332,725.333333333335,1.45770476167164
"LBR","LR",2751,0,26823,,3,,"mapping",2013,9,14,30,4,30,6,30,2,1,25380,0.133333333333333,0.2,0.0666666666666667,0.332914046121593,825.525922299063,32,32,32,22,27.6418555194715,25.6759903961052,47.4995755599312,1.965864872365,24.8585664871911,95.0461588238465,95.0158803547885,2.12735990650544,0.0302744616373733,2.8264835517172,27.3662858472552,214.697300480002,-8.14133,6.04718,1061.92942827942,787.38052631552,0.67411209335353
"LBR","LR",2753,0,26825,,3,,"sentinel site",2012,5,10,125,10,125,1,125,1,1,25512,0.08,0.008,0.008,0.0893029433962264,0,36,36,37,24,44.0185976870826,41.6907492346501,41.8495313617998,2.32784905257448,14.1318700413722,58.0213623300425,58.0036294586513,41.9785190574034,0.0177320029025931,0.000117369728107244,23.4210564602443,551.839900159994,-9.75042,8.42536,1284.48139328765,809.677449663885,0.79299246899752
"LBR","LR",2753,0,26825,,3,,"sentinel site",2013,6,11,96,0,96,0,96,0,1,25514,0,0,0,0,3.33958472381346,38,38,38,25,46.4387774650472,44.0301677817434,40.594298509058,2.40861397959445,12.9669216864643,57.5243177630445,57.5097210830741,42.4740290785083,0.014596137565888,0.00165259291135312,23.7390851004464,551.872121599995,-9.75045,8.42536,1284.48139328765,809.677449663885,0.79299246899752
