"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation"
"MDG","MG",2864,0,27853,12950,49.86160333,-16.981015,3,,"",2015,,,50,2,50,15,50,40,1,8809,0.04,0.3,0.8,0.816603773584906,6012.11627332344,0,0,0,1,18.304344282582,8.81585994743634,62.4333904214983,9.48848389886316,64.8278832168101,51.8570743444274,26.6940902904552,61.8143806002426,25.1629843784091,31.8941652576987,253,19.5
"MDG","MG",2863,0,27842,12780,47.679829,-19.32358,1,,"",2015,,,50,0,50,11,50,2,1,8796,0,0.22,0.04,0.236981132075472,36970.7094041977,2,2,2,3,8.84735183552865,8.05833342323656,21.2605377164273,0.789018004905675,69.8921118566784,44.1475853842109,25.6602329235537,12.0152177986483,18.4873520845649,43.8371959383514,181.365175788685,1562.89967859197
"MDG","MG",2871,0,27889,12885,46.95271167,-15.77795,3,,"",2015,,,50,0,50,1,50,0,1,8914,0,0.02,0,0.0188679245283019,5350.50427402933,3,3,3,4,12.1116971417887,11.0532254193906,71.1376541565115,1.05847153456653,16.7506487615656,43.4025038126789,23.3319855522997,17.1331214035005,20.0705188370326,39.4643747542323,20.1660995855968,8.5302923416029
"MDG","MG",2880,0,27929,104155,47.5833333,-16.1999999,3,,"",2015,10,0,50,0,50,0,50,0,1,859,0,0,0,0,20763.5732583337,7,7,7,8,8.90272735526766,8.13832560045574,65.0767352521428,0.76440152805064,26.0205385365566,35.0247336554646,17.9135986027749,30.3973564101955,17.1111337640689,34.5779093621721,25.3999996185303,90.9999600000044
"MDG","MG",2871,0,27887,104015,46,-17.45,1,,"",2015,10,0,50,0,50,0,50,0,1,828,0,0,0,0,8392.1165921863,8,8,8,9,8.3748835444758,7.70073161809631,65.3510861400902,0.674151851630413,26.2740301732556,36.6443070789923,18.7830109165199,30.4592804856335,17.861296161926,32.89641205351,5.80000019073486,185.500000000001
"MDG","MG",2879,0,27922,12815,50.28308833,-14.91431667,3,,"",2015,,,50,2,50,31,50,43,1,9019,0.04,0.62,0.86,0.895215094339623,12197.7425848074,10,10,10,10,16.0125294852883,10.6269123379387,23.0129761378663,5.38561552714705,55.3326953780862,64.3543802466986,49.8389411742366,24.5468589720175,14.5154378903808,5.45696497757065,27.5,15.4628121771298
"MDG","MG",2880,0,27931,104200,47.703911,-15.64412,1,,"",2015,9,0,50,15,50,0,50,0,1,872,0.3,0,0,0.283018867924528,8916.55786507444,11,11,11,11,5.28539084785084,4.67184148961721,86.9097477604458,0.613549540125443,7.80486362570171,18.8404817673375,10.1103469660942,7.42542955537643,8.73013435915246,73.7340917407566,43.9000015258789,45.0970556160152
"MDG","MG",2870,0,27884,12875,46.04979167,-17.50399167,3,,"",2015,,,50,0,50,0,50,0,1,8892,0,0,0,0,8392.1165921863,12,12,12,12,7.19719992813702,6.51787676684234,71.3040719399007,0.679323421647186,21.4987315447017,34.0777642428508,15.7191090122288,37.4955834481861,18.3586546769057,28.4266529393893,5.80000019073486,195.655255416003
"MDG","MG",2880,0,27925,104040,47.680099,-14.93211,1,,"",2015,9,0,50,10,50,0,50,2,1,831,0.2,0,0.04,0.218867924528302,42249.4542072855,13,13,13,13,5.97725866920054,5.23254757184514,77.7869300999701,0.744710796398482,16.2358090997112,35.0385022553735,20.505710280976,27.54160889434,14.5327930320024,37.4198890531045,11.1999998092651,87.9201719519904
"MDG","MG",2876,0,27908,12830,46.683333,-18.816667,1,,"",2015,,,50,0,50,6,50,2,1,8962,0,0.12,0.04,0.146415094339623,7419.97457075405,15,15,15,14,15.809781788953,15.2762621760869,50.0725350005757,0.533520115242326,34.1176793712041,34.8450764613641,14.7532203966273,18.5443445177884,20.0918568801807,46.6105805218525,178.47543854161,1219.74111993111
