"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation"
"MLI","ML",3119,30034,30034,55484,-2.9944999,17.0541,3,,,2004,,,69,0,69,0,69,0,2,9344,0,0,0,0,46161.478637132,0,0,0,1,,,,,,,,,,,-0.0102857144389834,270.649647520004
"MLI","ML",3115,30002,30002,55445,-8.0240188,14.9229085,1,,,2004,,,65,0,65,0,65,0,2,9256,0,0,0,0,28477.3268024075,1,1,1,2,39.2960323482832,39.2960323482832,30.3759029999062,7.32005749557886e-24,30.3280640727939,49.5487948519001,23.2667579079643,3.96848486705032,26.2820375092502,46.4827183913162,5.93382849993025,266.880295999999
"MLI","ML",3112,29979,29979,55314,0.0725377,17.3613875,1,,,2004,,,71,0,71,0,71,0,2,9155,0,0,0,0,24857.3947846131,2,2,2,3,21.4749870300293,21.4749870300293,16.3966522216797,3.1701959509004e-23,12.128360748291,12.1471281051636,6.65677165985107,28.2821388244629,5.49035549163818,9.57073497772217,0.736914290223803,315.781403999996
"MLI","ML",3112,29980,29980,55360,0.0025,16.1696,3,,,2004,,,70,0,70,0,70,0,2,9156,0,0,0,0,21878.7801663852,3,3,3,4,75.79247112745,75.79247112745,20.336672803147,2.17576212139558e-23,10.9154741505609,70.5193530911701,26.7287965299016,30.6607763631258,43.7905515054708,5.86449156640817,39.2783443407331,254.591999999998
"MLI","ML",3119,30030,30030,55346,-3.3778,16.378201,3,,,2004,,,70,0,70,0,70,0,2,9334,0,0,0,0,40515.4118295898,4,4,4,5,30.7799797048013,30.7799797048013,66.6447485042787,1.68362868670782e-23,2.57527247882231,40.7425359255301,29.9933822375304,8.00130371021817,10.7491554406398,51.2561591628066,26.9984472033315,266.604240000001
"MLI","ML",3113,29982,29982,55296,-10.8219,13.8079,3,,,2004,,,70,0,70,0,70,0,2,9162,0,0,0,0,1418.42535053933,5,5,5,6,46.9753302876765,46.9753302876765,8.66497380973064,2.94262723334793e-23,44.3596941096461,25.4924017945493,9.47850444938635,49.5927867646233,16.0138964879043,24.9148110063116,12.5173716714042,99.8746240000003
"MLI","ML",3111,29976,29976,55330,-7.9846681,12.625425,1,,,2004,,,78,0,78,0,78,0,2,9139,0,0,0,0,1447.32967891646,7,7,7,8,85.8389858810359,85.8389858810359,6.3022431576844,1.83099599264769e-22,7.85877157686517,88.009414799745,10.7720775169545,0.28914195246971,77.2373381345157,11.7014444423141,4643.74721828503,320.947417507998
"MLI","ML",3113,29982,29982,13336,-10.8345647,13.8092603,1,,,2014,,,122,0,122,0,122,0,1,9160,0,0,0,0,1418.42535053933,8,8,8,9,45.6811318434159,42.4100656129726,1.31168229979114,3.27106577337751,53.0071881952109,42.5150236850673,10.4416059525832,30.2968609388747,32.0734175785611,27.1881177565171,15.7401145106724,100.607795381516
"MLI","ML",3115,29999,29999,55378,-7.7715529,12.6090319,1,,,2004,,,74,4,74,1,74,0,2,9232,0.0540540540540541,0.0135135135135135,0,0.0630538748845735,10893.1057202444,9,9,9,10,62.2435927218908,62.2435927218908,0.828010810269879,2.73515314100841e-24,36.9283996685686,20.9464187652833,8.7925190443434,0.968960171332453,12.1538989028471,78.0846167397931,38.9451414555141,328.788530280863
"MLI","ML",3113,29986,29986,55404,-9.5519961,13.3559918,1,,,2004,,,69,2,69,0,69,0,2,9195,0.0289855072463768,0,0,0.0273448181569593,10191.9586001404,10,10,10,11,65.1113651825836,65.1113651825836,20.0836451359358,1.68655377128156e-23,14.8049925921574,16.0637110984614,14.7264768159007,0.49258282692611,1.33723547931553,83.4437066200166,4.76257122448513,314.391668021542
"MLI","ML",3112,29979,29979,55315,-1.4036179,17.0358391,1,,,2004,,,70,0,70,0,70,0,2,9150,0,0,0,0,57406.035534774,12,12,12,13,25.8311341092842,25.8311341092842,43.2315111381711,2.30784383912244e-23,30.9373533623594,8.53164635647093,3.52973836625903,89.2858513903722,5.00190795261289,2.18250190353276,5.25382865960257,261.761089660832
"MLI","ML",3113,29986,29986,55405,-9.2608004,13.3824,3,,,2004,,,70,1,70,0,70,0,2,9196,0.0142857142857143,0,0,0.0134770889487871,19479.324387217,13,13,13,14,11.6586638606292,11.6586638606292,27.7089307359305,1.63469881053371e-23,60.6324067494064,26.4659688461533,21.0497542845092,0.662713369189348,5.41621392216887,72.8713191576592,8.15685677773612,326.646074751993
"MLI","ML",3115,29994,29994,13337,-7.4435441,13.5543249,1,,,2016,,,126,0,126,0,126,0,1,9219,0,0,0,0,27340.75826822,14,14,14,15,52.9464912664147,50.5290471181892,0.365257783406958,2.41744163871851,46.6882529455266,76.8061062189698,16.8419475676159,1.25898710896732,59.9641590971508,21.9349073665111,69.6105740443638,381.138684622011
