"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation"
"MWI","MW",2993,28954,28954,,33.81958,-14.00754,3,"school","sentinel site",2012,5,12,121,0,121,0,121,0,1,26479,0,0,0,0,251.036159589778,1,1,1,2,44.8432032223341,42.6400767186759,1.20915127171721,2.20312516360222,53.9476474607779,90.1992233615771,46.0781771085953,0.669430991762049,44.1210403103443,9.13134869277388,9778.49728503485,1119.73239040001
"MWI","MW",2993,28954,28954,,33.443675,-14.157055,3,"school","mapping",2012,10,13,30,0,30,0,30,0,1,26418,0,0,0,0,28.61311869284,5,5,5,4,40.7690172923498,40.6082454891915,9.15806178227308,0.160768856177238,50.0729230450588,77.00626537237,72.2972245276281,0.0670159899632352,4.70904582813217,22.9267145660114,182.804828649227,1164.8625694
"MWI","MW",2984,28945,28945,,34.910505,-15.676695,3,"school","mapping",2012,11,14,30,0,30,0,30,0,1,26976,0,0,0,0,41.2594802932454,6,6,6,5,40.4649669232305,39.6943316199644,15.1815885131145,0.770634992217846,44.3534445783462,93.2775063515904,93.1858503337676,2.78235811332292,0.0916521660048926,3.94013731639714,318.097611840439,733.749739600006
"MWI","MW",2999,28972,28972,,33.994915,-11.40484,3,"","mapping",2012,10,14,30,0,30,0,30,0,1,26772,0,0,0,0,81.6586066740762,8,8,8,7,45.3738081264994,40.02334658282,2.90045640275207,5.35046063834103,51.7257348110893,87.6233245797234,55.3466258591594,2.28480091060775,32.2766999685598,10.091870963365,2203.99728642318,1308.82343328
"MWI","MW",2990,28951,28951,,33.92246407,-9.93539449,3,"school","mapping",2017,10,15,30,0,30,0,30,0,1,26751,0,0,0,0,894.727779105389,12,12,12,11,64.7793895914388,62.2049367104714,12.4432544060337,2.57445366654151,67.7218778000194,,27.5210792959855,1.77802838063961,,0.59090052907359,4479.39372499377,489.006498131939
"MWI","MW",3004,28965,28965,,34.6384332,-14.8219765,1,"school","mapping",2012,10,14,31,2,31,0,31,0,1,26611,0.0645161290322581,0,0,0.0608642726719416,1985.82236591056,13,13,13,12,46.2686639644589,45.7006872537889,3.26007449292909,0.567978212856433,50.4712607490508,94.4841197678288,82.4187994148495,1.06478594869235,12.0653196078938,4.45109589406281,1126.18093516138,1140.49288245342
"MWI","MW",3004,28965,28965,,34.68623,-14.84588,3,"school","mapping",2012,10,14,30,0,30,0,30,0,1,26612,0,0,0,0,2225.43127627347,15,15,15,14,44.6065798334384,43.6011637780873,3.18744658955814,1.00541438811898,52.2059780812781,93.0526435479202,92.3692355657911,0.041299395391203,0.683404427249674,6.90605931955702,306.800877527115,1018.28802751999
"MWI","MW",2984,28945,28945,,35.088245,-15.824605,3,"school","mapping",2012,10,14,30,3,30,0,30,0,1,26978,0.1,0,0,0.0943396226415094,50.0262917457874,16,16,16,15,45.6821363503657,43.4715178555186,0.906880697955807,2.21061855744606,53.4109809998683,88.1392726114823,38.726229915924,1.01108024377375,49.4130438960758,10.8496447637627,14992.4807372749,1163.28312871992
"MWI","MW",3007,28968,28968,,33.58571532,-10.86806007,3,"school","mapping",2017,10,14,30,0,30,0,30,0,1,26913,0,0,0,0,3723.42471839595,18,18,18,17,47.2845079093396,46.6328673897572,4.01503873184385,0.651639329139207,48.7004544191237,94.7723112112969,79.2549127146747,2.10190239233313,15.5173987434336,3.12578712257927,53.9357710527692,1447.83076105219
"MWI","MW",3007,28968,28968,,33.7180221,-11.05851826,3,"school","mapping",2017,10,13,30,0,30,0,30,0,1,26914,0,0,0,0,2996.59545763163,20,20,20,19,47.9004265734998,47.5057512182791,3.26245751976056,0.394674684217868,48.8371170247503,71.8518841341767,71.0640872823088,27.5747593861133,0.787798705155064,0.57335746590868,102.301611443701,1091.11997697226
"MWI","MW",3007,28968,28968,,33.8485036,-11.02249546,3,"school","mapping",2017,10,14,19,0,19,0,19,0,1,26915,0,0,0,0,761.5559578199,21,21,21,20,51.122451976185,48.7277827308146,2.75443792834205,2.39466948238175,46.1231094128298,97.7301141152239,1.34606745319377,2.14830912335997,96.3840493323312,0.121575405817519,2534.12447386707,1079.51732582916
"MWI","MW",3004,28965,28965,,34.842355,-14.821825,3,"school","mapping",2012,10,14,30,0,30,0,30,0,1,26614,0,0,0,0,3704.8167326953,22,22,22,21,42.7441065378821,42.6246071953457,6.54323219808308,0.119498260989806,50.7126632349946,91.8121281862577,55.8920422371351,2.44976910519788,35.9200862164614,5.73810344142368,253.450312765613,755.87563520005
"MWI","MW",2992,28953,28953,,34.73677,-12.0635,3,"school","mapping",2015,15,16,11,0,11,0,11,0,1,26720,0,0,0,0,265.58173498241,23,23,23,22,36.0541887283325,34.0384721755981,32.1511054039001,2.01571667194366,31.7947053909302,82.3257446289062,6.35674244165421,6.13687016069889,75.9690036773682,11.537383512361,1028.14881307463,522.107775999925
"MWI","MW",2984,28945,28945,,35.0167866,-15.7666707,1,"school","mapping",2012,10,14,30,2,30,0,30,0,1,26980,0.0666666666666667,0,0,0.0628930817610063,918.00731277559,25,25,25,24,47.7573992743509,32.1929044861898,0.431948810492768,15.5644962955915,51.81065181873,98.63699815539,10.3790467214243,0.0857412172806237,88.2579519977592,1.27725914705453,3937.89850468215,1049.48182414324
