"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation"
"RWA","RW",3913,38118,38118,,30.07377,-1.920906,3,,"mapping",2014,8,18,50,0,50,0,50,0,1,22619,0,0,0,0,1453.2313988866,0,0,0,1,84.5057820591099,83.901059665549,0.666234204769826,0.604725212763916,14.8279821702309,92.9420876358496,15.681271632463,2.27721485656089,77.2608161468027,4.78069700200557,4938.55669871925,1416.10151049599
"RWA","RW",3913,38120,38120,56568,30.0714885,-1.95716,1,,"",2008,,,50,0,50,0,50,4,1,13252,0,0,0.08,0.0754716981132075,0,1,1,2,2,80.0877869132167,80.0847431381649,0.26035118348294,0.00304674895423411,19.6518621870595,93.9227225636504,9.29613739061183,2.72295641097595,84.6265851087343,3.35432340238521,5668.14651166726,1440.82994030397
"RWA","RW",3913,38120,38120,16119,30.0714885,-1.95716,1,,"",2007,,,0,0,50,0,0,0,1,13255,,0,,,0,2,2,1,2,79.2788970001178,79.2770801923123,0.243699138360307,0.00181631706562797,20.4774027763449,93.9554768685791,8.78315208913157,2.79786747197058,85.1723222370104,3.24665631147152,5786.76170348651,1440.82994030397
"RWA","RW",3916,38139,38139,,29.2559,-1.69784,3,,"mapping",2014,8,18,45,0,45,4,45,12,1,22742,0,0.0888888888888889,0.266666666666667,0.313067784765898,2698.46315367005,3,3,3,3,93.1753252045379,92.2497518416961,3.03921634299172,0.925568693451396,28.9724625448149,85.3356885341016,17.2824825798481,15.423478101973,68.0532039139338,24.4278390659993,5760.37796398002,1486.77221760001
"RWA","RW",3916,38134,38134,56517,29.2569444,-2.4344444,1,,"",2008,,,55,1,55,13,55,8,1,13363,0.0181818181818182,0.236363636363636,0.145454545454545,0.338964886664871,0,6,6,7,5,84.2756719052536,84.2705090354668,1.43504255361398,0.00516313734803647,14.2892839834349,65.7412811899948,52.8666950473364,1.67629749397595,12.8745849431528,32.5824224325414,,2770.11090542001
"RWA","RW",3916,38134,38134,16064,29.2569444,-2.4344444,1,,"",2007,,,0,0,55,0,0,0,1,13354,,0,,,0,7,7,6,5,83.6039303818161,83.6008849416655,1.3894762685805,0.00304850584091721,15.0065902682715,64.984664741012,51.789641241234,1.79584304653014,13.1950266941915,33.219489880168,,2770.11090542001
"RWA","RW",3914,38121,38121,,29.71921,-1.461381,3,,"mapping",2014,8,18,50,0,50,34,50,27,1,22601,0,0.68,0.54,0.804528301886793,3105.34748842797,10,10,10,7,85.4980177079742,85.2986038737287,2.63981279792785,0.19941595148868,11.8621671615472,72.5278430581329,13.2672966000305,13.7847246099246,59.2605498448284,13.6874299200524,591.977196498326,1865.74227939202
"RWA","RW",3914,38121,38121,,29.72916,-1.420057,3,,"mapping",2014,8,18,47,0,47,33,47,26,1,22602,0,0.702127659574468,0.553191489361702,0.817837833220872,1885.80688416965,11,11,11,8,86.1898813045646,86.0947251704475,1.25931989294044,0.0951598868191915,12.5507931698972,73.6211555836016,6.74473337374735,22.3194797886623,66.8764201091066,4.0593646934959,811.213741606696,2035.49371244793
"RWA","RW",3914,38121,38121,,29.90763,-1.485418,3,,"mapping",2014,8,18,50,0,50,28,50,18,1,22603,0,0.56,0.36,0.677735849056604,0,14,14,15,10,87.426882270503,87.0317567048322,0.921301088369414,0.39512819116871,11.6518163138334,77.9186612748727,64.2702269786713,5.49946603795379,13.6484334559286,16.5818754152511,422.814191076354,2146.99177744002
"RWA","RW",3914,38121,38121,16029,29.90763,-1.485418,3,,"",2007,,,0,0,65,0,0,0,1,13263,,0,,,0,15,15,14,10,82.8426242709756,82.8418559782543,0.748347771424053,0.00076740554985051,16.4090291174762,71.7603499830953,57.192616647147,9.15222317742118,14.5677357336002,19.0874258799088,435.207261774517,2146.99177744002
"RWA","RW",3914,38121,38121,,29.87126,-1.45089,3,,"mapping",2014,8,18,50,4,50,37,50,24,1,22604,0.08,0.74,0.48,0.826052830188679,2382.55568721921,16,16,16,11,86.9497832372561,86.8069169452023,1.0851420929255,0.14286736153139,11.9650752522622,68.9307776303651,39.172692864976,8.7295521531703,29.758082352266,22.3396703390909,430.583202142359,2075.33304767997
"RWA","RW",3916,38137,38137,,29.46319,-1.623503,3,,"mapping",2014,8,18,50,0,50,46,50,34,1,22702,0,0.92,0.68,0.919245283018868,653.262785628228,17,17,17,12,86.0279757969439,85.6973192850089,5.43207319509327,0.330657300708647,8.53995002599928,78.3180716743459,32.1300876904595,2.37594691347095,46.1879844634329,19.3059814163475,1004.72937176152,2409.61723672
"RWA","RW",3914,38124,38124,16089,29.667,-1.567,3,,"",2007,,,0,0,68,0,0,0,1,13287,,0,,,4517.75591492393,20,20,20,14,83.1048633581749,83.1045065755008,2.22116751591208,0.000356027990063528,14.6739677393911,80.6285146350509,46.2402677368766,4.68596086575239,34.3882504024084,14.6855231952981,727.73847366303,1796.33840000003
"RWA","RW",3914,38121,38121,,29.8352303,-1.4877669,1,,"mapping",2014,8,18,50,0,50,46,50,36,1,22605,0,0.92,0.72,0.922264150943396,0,23,23,24,16,86.337053965883,85.8207303946057,2.20572373740218,0.516324671254617,11.4572237370864,80.7757834701186,64.400644387788,5.1367134130842,16.3751388922872,14.0875040567733,443.634246769212,2070.92522982257
"RWA","RW",3914,38121,38121,56484,29.8352303,-1.4877669,1,,"",2008,,,70,3,70,65,70,50,1,13258,0.0428571428571429,0.928571428571429,0.714285714285714,0.924968370097365,0,24,24,23,16,82.1585273571509,82.1567631588065,1.93513911609426,0.00176245063789662,15.9063344221403,75.8784230984863,58.9549410566784,8.0670750969724,16.9234793568447,16.0545030835936,411.017075645468,2070.92522982257
"RWA","RW",3914,38121,38121,16030,29.8352303,-1.4877669,1,,"",2007,,,0,0,70,0,0,0,1,13259,,0,,,0,25,25,23,16,81.416969000536,81.4159191676054,1.84192740257625,0.00105125553528088,16.7411026028559,75.1749306777286,57.6514483224816,8.62347584857573,17.5234841320893,16.2015948236824,406.223635095912,2070.92522982257
"RWA","RW",3913,38119,38119,,30.14797,-1.984556,3,,"mapping",2014,8,18,50,0,50,0,50,0,1,22667,0,0,0,0,2693.3184297134,26,26,26,17,85.1181561479885,84.7907403546067,0.343607237243379,0.32742111205072,14.5382349591412,96.5659161426031,6.67614663183691,1.98860120282088,89.8897672668232,1.44548527403056,2030.38737655542,1457.26118579201
"RWA","RW",3914,38121,38121,16031,29.883,-1.433,3,,"",2007,,,0,0,65,0,0,0,1,13260,,0,,,2382.55568721921,29,29,29,19,80.8345646683192,80.7788965186649,2.24601765459684,0.0556652820452964,16.9194186150886,50.7269167602777,31.2780638193259,19.1628124853184,19.4488544591582,30.110269184285,439.3961213409,2195.2763999999
"RWA","RW",3916,38140,38140,56591,29.216999,-2.6170001,3,,"",2008,,,65,15,65,47,65,27,1,13405,0.230769230769231,0.723076923076923,0.415384615384615,0.825911835178331,0,32,32,33,21,60.6514420809177,60.5943966332594,1.7697559083234,0.0570466605176136,37.5788013084908,72.4752668463899,42.486561220386,15.8261644810303,29.9887093483287,11.6985665489532,430.391836273938,1736.67007742848
"RWA","RW",3916,38140,38140,16143,29.216999,-2.6170001,3,,"",2007,,,0,0,65,0,0,0,1,13404,,0,,,0,33,33,32,21,60.0989098737813,60.0428398706773,1.71660900460447,0.0560687450803496,38.1844815311153,72.2112566526044,41.8423372151142,17.1192497627762,30.3689194705769,10.6694932782127,426.709017736673,1736.67007742848
"RWA","RW",3914,38121,38121,,29.83447,-1.521821,3,,"mapping",2014,8,18,49,14,49,27,49,15,1,22606,0.285714285714286,0.551020408163265,0.306122448979592,0.733465728004167,3793.13729686352,34,34,34,22,86.2404570063163,84.7563992703045,2.44816037043752,1.48405964697064,11.3113809518294,86.0127514935691,63.3308080590136,2.55201138811136,22.6819496352452,11.4352331472008,445.731382742746,2009.61879555201
"RWA","RW",3915,38133,38133,56581,29.636499,-2.1159699,3,,"",2008,,,61,48,61,9,61,2,1,13344,0.786885245901639,0.147540983606557,0.0327868852459016,0.777627218901956,720.405931312119,35,35,35,23,81.9743976533635,81.9724304791592,4.48348468925076,0.00196617688697534,13.5421173792913,52.9070043669848,43.0551636096333,29.3563004166221,9.85184177366102,17.7366936995675,404.684308832886,1627.83103672979
"RWA","RW",3915,38129,38129,16085,29.64078,-2.11112,3,,"",2008,,,0,0,61,0,0,0,1,13324,,0,,,720.405931312119,36,36,36,24,81.9831390583126,81.9809140581213,4.99098486827835,0.00222416251477106,13.0258757053379,48.466741140322,42.173490213105,33.4768103885103,6.29325229533359,18.0564468819329,392.132259569268,1615.84409600002
"RWA","RW",3915,38128,38128,16060,29.9041,-2.0614905,1,,"",2008,,,0,0,60,0,0,0,1,13316,,0,,,5454.59847980049,37,37,37,25,82.7277808973406,82.7273805505136,1.17212442621194,0.000403496959089909,16.1000944374716,59.5080787808565,52.7135713718802,17.791020582728,6.79450768121118,22.7009020332198,419.071470476423,1608.45745184001
"RWA","RW",3915,38128,38128,56513,29.855101,-2.0617099,3,,"",2008,,,60,23,60,8,60,0,1,13321,0.383333333333333,0.133333333333333,0,0.439203354297694,5454.59847980049,40,40,40,27,82.0599452439456,82.0598653178933,8.73188273854544,7.85220733376993e-05,9.20817117810777,56.6831027947925,42.8117996816775,24.9818498269364,13.8713031641572,18.3350473648137,490.382921159453,1636.77043042872
"RWA","RW",3916,38140,38140,16144,28.9075,-2.5302697,1,,"",2007,,,0,0,68,0,0,0,1,13411,,0,,,5040.46429951418,43,43,43,29,82.3944648744546,82.3937106312752,0.771749262115578,0.000753827014177752,16.833785768483,61.0624955045624,34.2520364235098,22.5062737157001,26.8104588395544,16.4312287239203,525.500595281964,1691.5121584
"RWA","RW",3916,38141,38141,16149,29.29058,-1.82719,3,,"",2008,,,0,0,62,0,0,0,1,13417,,0,,,2.22638981649652,44,44,44,30,92.2234350671623,92.2205660016661,11.1769692060019,0.00286588730802634,11.346589430374,86.712725773968,49.4257972834543,15.580557282042,37.2869315357345,12.4537032048323,578.441564976284,1506.88436480007
"RWA","RW",3916,38141,38141,,29.29091,-1.827524,3,,"mapping",2014,8,18,50,0,50,45,50,48,1,22769,0,0.9,0.96,0.939622641509434,50.7413667670593,45,45,45,31,96.7903562263719,95.9145184789039,9.94269784795429,0.875841189720022,7.21233290418309,91.2125774358169,54.8070063339628,12.1769022613571,36.4055716436681,10.555911521117,601.462249232701,1509.4060601601
"RWA","RW",3912,38111,38111,56478,30.201,-2.228,3,,"",2008,,,62,26,62,4,62,2,1,13168,0.419354838709677,0.0645161290322581,0.032258064516129,0.447488572906975,0,46,46,47,32,82.162841764723,82.1615493234412,1.3825149320417,0.00129133644944363,16.4546441730023,62.822288848605,5.1930561523699,35.6292011363287,57.629231930214,1.54850784330551,258.847277345815,1379.09759999997
"RWA","RW",3912,38111,38111,16023,30.201,-2.228,3,,"",2007,,,0,0,62,0,0,0,1,13166,,0,,,0,47,47,46,32,81.8329285930457,81.8321381689238,1.38228000072653,0.000793300213158279,16.7847904439005,62.8615514520785,4.89423323427377,35.6456700293893,57.9673204634896,1.4927770943507,254.340020445334,1379.09759999997
"RWA","RW",3912,38117,38117,,30.33887,-1.910795,3,,"mapping",2014,8,18,50,4,50,0,50,0,1,22777,0.08,0,0,0.0754716981132075,1401.01573872443,48,48,48,33,85.8369787849298,85.3532646758762,2.66840965188701,0.483711541217291,11.4946131698033,65.226972412411,42.055188560877,19.267681418875,23.1717868862164,15.505344200398,543.203437831334,1552.30599208
"RWA","RW",3914,38124,38124,,29.64495,-1.496614,3,,"mapping",2014,8,18,50,0,50,6,50,6,1,22683,0,0.12,0.12,0.212830188679245,1706.40594018066,49,49,49,34,85.5126269108771,85.1907887512738,0.57036309910233,0.321837975528346,13.9170080033609,89.0529733733844,22.2437592393056,1.93603193037124,66.8092089044434,9.01099815230621,2541.42477411537,1842.35182928001
