"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation"
"SSD","SS",4575,44350,44350,16315,29.427625,6.938401667,3,"","",2016,,,45,3,45,0,45,0,1,13717,0.0666666666666666,0,0,0.0628930817610062,24570.9246301137,0,0,0,1,4.86839357509698,3.08099806359813,66.3546599611481,1.78739545345196,28.7769448882247,34.2352593665948,33.0690622056281,3.04745445646784,1.16619679180649,62.7172882613761,28.6117714440482,419.096816967401
"SSD","SS",4576,44358,44358,56911,27.5119,8.8635397,3,"","",2009,,,62,0,62,0,62,0,1,13777,0,0,0,0,1803.12507196955,3,3,3,4,2.97392563087894,2.37208446302049,76.7796066020173,0.6018410152596,20.2464648817454,29.3514122199323,25.8438109294058,10.6051520077287,3.5076004224897,60.0434340094803,48.9114282531738,421.071999999999
"SSD","SS",4576,44360,44360,56950,27.7069,8.65872,3,"","",2009,,,57,1,57,0,57,0,1,13807,0.0175438596491228,0,0,0.0165508109897384,4957.26541764468,4,4,4,5,3.50855275129656,2.98455059196841,76.9595276101555,0.524002227546307,19.5319179346168,29.6147745190502,26.2420540684453,15.6227050327412,3.37272193830507,54.7625182458699,36.9962302725656,423
"SSD","SS",4576,44360,44360,56951,27.678699,8.69279,3,"","",2009,,,53,2,53,0,53,0,1,13804,0.0377358490566037,0,0,0.0355998576005695,4957.26541764468,5,5,5,6,3.37550153202761,2.79289276280789,76.6436970065424,0.582608678752741,19.9807995134978,28.8197021849101,24.9140730148651,15.8353879581575,3.90562962924592,55.3449066985839,36.9962302725656,423.619670047999
"SSD","SS",4576,44358,44358,56912,27.7537,8.9491196,3,"","",2009,,,67,0,67,0,67,0,1,13786,0,0,0,0,4799.00085294742,7,7,7,8,2.9957809610163,2.35985121649514,78.2446211889251,0.635929765050111,18.7595983543051,29.132429571147,25.3595991735566,14.3662454254668,3.77283042215098,56.5013270381245,48.9114282531738,416.056
"SSD","SS",4576,44358,44358,56913,27.528,8.8982697,3,"","",2009,,,65,2,65,0,65,0,1,13775,0.0307692307692307,0,0,0.0290275761973875,0,8,8,9,9,3.02930994780089,2.44606984706269,76.4514643647605,0.583240030402393,20.5192265488716,29.7771537001105,25.5345205006656,10.91512238271,4.24263328374618,59.3077216734988,48.9114282531738,419.25143304
"SSD","SS",4576,44358,44358,56913,27.528,8.8982697,3,"","",2009,,,64,1,64,0,64,0,1,13778,0.015625,0,0,0.0147405660377358,0,9,9,8,9,3.02930994780089,2.44606984706269,76.4514643647605,0.583240030402393,20.5192265488716,29.7771537001105,25.5345205006656,10.91512238271,4.24263328374618,59.3077216734988,48.9114282531738,419.25143304
"SSD","SS",4575,44352,44352,16369,29.89597167,6.63203,3,"","",2016,,,51,0,51,5,51,0,1,13727,0,0.0980392156862745,0,0.0924898261191268,10391.2531704148,10,10,10,10,5.32273711802723,3.80495774129929,66.6569554478831,1.51777941501314,28.0203048841303,34.3298958471074,32.8131153728415,4.55990017837049,1.51677885055059,61.1102055735069,40.6650277829851,435.64550349744
"SSD","SS",4576,44361,44361,56960,26.7948,9.1096401,3,"","",2009,,,64,1,64,0,64,0,1,13819,0.015625,0,0,0.0147405660377358,5209.76441685127,12,12,12,12,3.25591659439211,2.72992364197805,75.5975790509302,0.525992863367261,21.1465064146655,27.0481111136513,25.3923422094825,11.778520825671,1.65577037742507,61.1733689847738,32.8817135925293,451.059128
"SSD","SS",4576,44358,44358,56914,27.7845,9.0450802,3,"","",2009,,,61,0,61,0,61,0,1,13772,0,0,0,0,9142.1197127171,13,13,13,13,2.98889166501001,2.36968188366231,78.9453930420329,0.619209754653279,18.0657140563575,26.8308400856823,24.5738633956644,12.4034451219341,2.25697717209182,60.7657158041559,48.9114282531738,415.85178336
"SSD","SS",4574,44344,44344,16360,34.19153,7.048823333,3,"","",2016,,,48,32,48,0,48,6,1,13709,0.666666666666667,0,0.125,0.668238993710692,4929.68994680353,14,14,14,14,8.04892305266487,7.58484467444717,73.3382566868164,0.464078432967998,18.6128161283035,38.4241718396043,34.5072490835251,9.87026218417609,3.91692185525205,51.7055664487163,7.06135306976113,456.620168678689
"SSD","SS",4576,44360,44360,56952,27.7129,8.5656605,3,"","",2009,,,62,7,62,0,62,0,1,13801,0.112903225806452,0,0,0.106512477175898,10498.7432276143,16,16,16,16,3.91492623574581,3.25540691092319,77.3795036237225,0.65951915682758,18.705570941653,29.9523663473414,26.0433639755289,13.7979868996646,3.90900078156739,56.2496473020709,36.9962302725656,427.572740000001
"SSD","SS",4575,44355,44355,16416,30.421605,6.641575,3,"","",2016,,,50,3,50,2,50,1,1,13745,0.06,0.04,0.02,0.109101886792453,9654.92923657612,18,18,18,18,4.30770123575857,3.30706674488302,67.574025650361,1.00063438384498,28.1182718929548,34.2536119471919,33.1472125911273,4.04200127684859,1.10639999752629,61.7043878399351,21.1133041863874,433.65355580001
"SSD","SS",4576,44361,44361,56961,27.308901,8.8188295,3,"","",2009,,,61,0,61,0,61,0,1,13821,0,0,0,0,5632.50703321104,19,19,19,19,1.39371631873984,0.853009293887919,79.1898125024569,0.540706987017878,19.4164741344156,24.7441151811486,19.1707698118989,13.4569456051107,5.5733464456533,61.7989378557643,32.8817135925293,431.912800000002
"SSD","SS",4579,44387,44387,16384,29.16480833,8.361721667,3,"","",2016,,,50,0,50,0,50,0,1,13910,0,0,0,0,24634.9446286759,20,20,20,20,1.662198232617,1.5118124177878,86.3587166537366,0.150385829519703,11.9790842270534,31.5710629190125,30.0016448926136,3.34296381562411,1.56941717800388,65.085972992181,16.3246290468488,396.61381573468
"SSD","SS",4576,44361,44361,56962,26.4757,9.0177498,3,"","",2009,,,66,0,66,0,66,0,1,13823,0,0,0,0,14413.5477394094,21,21,21,21,4.29457063495779,3.61497871987976,74.2297392955813,0.679592002530036,21.4756896528885,28.4902667140395,24.711292470531,12.8700606315383,3.77897263119326,58.6396737642805,32.8817135925293,459
