"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation"
"STP","ST",4018,,39147,,6.643889,0.367778,4,,,2009,0,10,134,1,134,37,134,6,1,29900,0.0074626865671641,0.276119402985075,0.044776119402985,0.295936015313004,1542.05644837472,0,0,0,1,,,,,,,,,,,185.366856009347,175.306228892829
"STP","ST",4018,,39143,,6.722222,0.356389,4,,,2009,0,10,214,1,214,22,214,14,1,29901,0.0046728971962616,0.102803738317757,0.0654205607476635,0.156053821383767,1896.35062249004,1,1,1,2,,,,,,,,,,,6559.33874104207,14
"STP","ST",4018,39145,39145,109222,6.6491132,0.1333856,1,,,2014,8,0,51,7,51,2,51,45,1,1528,0.137254901960784,0.0392156862745098,0.882352941176471,0.8513971190966,10650.1586914089,2,2,2,3,,,,,,,,,,,21.9145148042951,34.7069670584408
"STP","ST",4018,39144,39144,109211,6.6897102,0.2335656,1,,,2014,8,0,25,0,24,1,25,16,1,1522,0,0.0416666666666666,0.64,0.617924528301887,1464.75939181898,3,3,3,4,,,,,,,,,,,161.945259926932,164.833803879932
"STP","ST",4018,39143,39143,109205,6.7174652,0.3400317,1,,,2014,6,0,50,4,50,34,50,28,1,1517,0.08,0.68,0.56,0.821192452830189,870.590228649504,4,4,4,5,,,,,,,,,,,4458.50886033142,40.7449428565208
"STP","ST",4018,39144,39144,109213,6.666819,0.2343046,1,,,2014,8,0,25,4,25,2,25,18,1,1523,0.16,0.08,0.72,0.73926037735849,2549.56429223393,5,5,5,6,,,,,,,,,,,161.945259926932,278.979720527942
"STP","ST",4018,39146,39146,109234,6.5,0.31667,3,,,2014,10,0,50,1,50,4,50,29,1,1540,0.02,0.08,0.58,0.586158490566038,5599.06610482598,6,6,6,7,,,,,,,,,,,64.0249724775042,95.9476000000521
"STP","ST",4018,39148,39148,109261,6.66667,0.33333,1,,,2014,12,0,50,0,50,13,50,29,1,1561,0,0.26,0.58,0.650188679245283,1855.72891237434,7,7,7,8,,,,,,,,,,,363.601334881372,260.232001439927
"STP","ST",4018,39146,39146,109236,6.5489836,0.3560223,1,,,2014,10,0,50,0,50,8,50,31,1,1542,0,0.16,0.62,0.642264150943396,460.414349265802,8,8,8,9,,,,,,,,,,,64.0249724775042,22.9593401564324
"STP","ST",4018,39146,39146,109237,6.544557,0.3400039,1,,,2014,10,0,50,1,50,4,50,24,1,1543,0.02,0.08,0.48,0.501101886792453,1850.0260975325,9,9,9,10,,,,,,,,,,,64.0249724775042,152.157094247918
