"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation","longitude","latitude","AnnualPrecip","AnPET","AridityIndex"
"SWZ","SZ",4682,45411,45411,16586,3,,,2015,,,60,0,60,54,60,0,1,14008,0,0.9,0,0.849056603773585,5342.10028437775,0,0,0,1,83.7891028278499,67.3616619900841,10.377549475313,16.4274412359909,5.83334707554401,79.8328016950321,17.1737007929155,3.73834668087583,62.6591004102945,16.4288515575942,122.970169748816,1055.03880244,31.093943,-26.378803,597.28614498234,839.258989754055,0.355924610179501
"SWZ","SZ",4684,45440,45440,16581,1,,,2015,,,51,0,51,7,51,0,1,14154,0,0.137254901960784,0,0.129485756566778,5856.29109199898,1,1,1,2,83.9269004400034,69.2058969052964,5.92152375471733,14.7210068473212,10.1515726727609,96.8642202027798,5.46865442214388,2.71340560022247,91.3955692858063,0.422372851959866,53.7999992370605,484.318426101775,31.516004,-26.2694818,402.503835028798,894.10881490663,0.225016996353445
"SWZ","SZ",4682,45412,45412,16591,3,,,2015,,,43,0,43,18,43,4,1,14013,0,0.418604651162791,0.0930232558139535,0.445932018327092,5852.21644431332,2,2,2,3,82.0992973899006,68.2667864797836,9.56209854893242,13.8325178054881,8.33860200606103,82.8434421832937,13.4180030658836,2.81359926039761,69.4254399939417,14.342956619436,35.7999992370605,1039.90460799997,31.2602,-26.2273,577.20673570667,863.035031790095,0.334499780189221
"SWZ","SZ",4682,45409,45409,16554,3,,,2015,,,27,0,27,0,27,0,1,13996,0,0,0,0,3085.2953329563,3,3,3,4,82.6978286670851,65.4231979705518,11.6745764273898,17.2746318335823,5.62759539362351,87.2417286032149,7.38095148752068,9.08326331225349,79.8607746104536,3.67500785662104,206.693952243212,856.07119999999,31.1565,-26.3644,621.270301011155,832.346278704385,0.37339327535251
"SWZ","SZ",4684,45438,45438,16524,1,,,2015,,,50,0,50,0,49,0,1,14144,0,0,0,0,1758.21332904657,5,5,5,6,86.9305979813355,72.6337444998319,5.6728770757932,14.2968549213997,7.39652465812027,79.3507956276573,6.55721425489581,18.2080673611165,72.7935798585101,2.44113916094891,884.041371405151,581.428663269945,31.3557289,-26.5059202,469.25851841446,913.76271635543,0.256752011360616
"SWZ","SZ",4685,45456,45456,16682,3,,,2015,,,50,0,50,1,50,0,1,14227,0,0.02,0,0.0188679245283019,4447.52355370195,6,6,6,7,76.899942545544,52.6068792262785,9.68697601880891,24.2930648293557,13.4130823438782,51.1271160675621,11.785340144079,34.3891210042354,39.3417745944476,14.4837631679357,107.321195099791,905.708900870384,31.415359,-27.286119,379.553713346899,857.75166901998,0.22119502847933
"SWZ","SZ",4684,45459,45459,16697,1,,,2015,,,45,0,45,2,45,0,1,14091,0,0.0444444444444444,0,0.0419287211740042,4767.5651791446,7,7,7,8,78.2571390786615,66.4888988911418,13.6429565380021,11.7682386859339,8.09990493873275,96.6024764474403,7.67950406153495,0.61864628605215,88.9229690830667,2.7788777378019,123.800003051758,679.396855249211,31.2681553,-26.4987338,469.092998636771,925.97491522472,0.253318616770933
"SWZ","SZ",4685,45445,45445,16436,3,,,2015,,,50,0,50,0,50,0,1,14178,0,0,0,0,1190.61148171211,8,8,8,9,83.458876267847,61.2483517744716,10.5183652917937,22.2105267682474,6.02275571065098,58.884089849736,33.8293595133261,29.839272332531,25.0547322128763,11.2766389818133,29.1000003814697,1199.16615642396,30.990077,-26.979555,441.833413098722,840.774528435285,0.262747517979783
"SWZ","SZ",4682,45406,45406,16500,1,,,2015,,,49,1,49,0,49,0,1,13978,0.0204081632653061,0,0,0.0192529842125529,5762.01110751031,9,9,9,10,81.3894527997553,69.4790804308474,12.2748024778664,11.9103777414777,6.3357423741082,58.2879483332993,32.2931976573315,28.7475618079239,25.9947518311363,12.9644897579481,57.7000007629394,357.208950194146,31.5515621,-26.0833301,370.196930639081,890.05559696201,0.207905364374266
"SWZ","SZ",4685,45446,45446,16450,3,,,2015,,,50,0,50,0,50,0,1,14181,0,0,0,0,3997.09424932887,10,10,10,11,81.0344351421492,60.967150407894,13.3912263680025,20.0672812798374,5.57433741361622,33.2034363454781,29.9889850975599,40.0318188388318,3.21444956151194,26.7647451230215,58.7334903729854,742.565481683251,31.554413,-27.218813,376.314977595832,855.59387848809,0.219866037343674
"SWZ","SZ",4682,45411,45411,16587,3,,,2015,,,50,0,50,1,50,0,1,14007,0,0.02,0,0.0188679245283019,5342.10028437775,11,11,11,12,83.8234545083434,67.8210388218138,10.5009432763598,16.0024158335537,5.6756027672285,90.2286568257193,14.0843710168886,1.48825770960334,76.1442864644436,8.28308399089423,103.390180250655,979.334211206405,31.085558,-26.421126,597.28614498234,839.258989754055,0.355924610179501
"SWZ","SZ",4684,45430,45430,16431,1,,,2015,,,48,0,48,0,48,0,1,14105,0,0,0,0,2963.38095382096,12,12,12,13,80.2024220531878,66.6414722051826,11.0498894684328,13.5609468196705,8.7476894549443,59.9445531966698,25.7258854940607,27.1029820475171,34.2186712580662,12.952464824967,124.199996948242,676.256100940805,31.4229575,-26.3333437,450.323895758546,900.25505121829,0.250030404104045
"SWZ","SZ",4683,45426,45426,16642,3,,,2015,,,50,2,50,7,50,0,1,14082,0.04,0.14,0,0.164528301886792,5256.59129851326,13,13,13,14,71.3429042943069,58.6234237111009,19.1287232391286,12.7194818464326,9.52837165024089,93.5876195551044,4.67134701634188,3.4777077058591,88.9162758526099,2.93467154578015,26.3999996185303,131.74258862081,31.927981,-26.827367,317.285815084273,843.939037443645,0.18790138514553
"SWZ","SZ",4684,45439,45439,16565,1,,,2015,,,50,0,50,0,50,0,1,14149,0,0,0,0,3859.45219419414,14,14,14,15,84.3083079981512,65.4280465955881,9.1333655563269,18.8802623634431,6.55832494238852,92.6262368850587,7.61929456316438,4.66815946678511,85.0069466224555,2.70560201897522,20.8532096044069,958.53787192433,30.9962356,-26.5380011,520.579465175015,839.17305192403,0.31063903782814
"SWZ","SZ",4684,45441,45441,16607,1,,,2015,,,50,0,50,0,50,0,1,14157,0,0,0,0,4145.9154886867,15,15,15,16,85.0115252960946,70.722826212503,6.76836036426429,14.2887006257157,8.22011205725745,61.1139451772244,20.8434878305712,35.3952579426073,40.2704553853813,3.49079702489637,70.4513238086148,469.088915454058,31.4158016,-26.5465245,418.668218277455,906.9411921584,0.230743488874005
"SWZ","SZ",4682,45406,45406,16501,3,,,2015,,,49,0,49,1,49,0,1,13982,0,0.0204081632653061,0,0.0192529842125529,5762.01110751031,16,16,16,17,81.3060400560521,68.3731806788598,12.3921963863916,12.9328593831796,6.3017623348661,66.5692152977149,36.0835687663179,29.0103823698445,30.4856458520731,4.4204019105299,57.7000007629395,453.760718745653,31.601476,-26.095638,383.284226975324,872.82467856019,0.219522261457576
"SWZ","SZ",4684,45441,45441,16608,3,,,2015,,,50,0,50,0,50,0,1,14156,0,0,0,0,5900.2568977795,17,17,17,18,82.2964103689449,65.8856412341688,9.66681342075699,16.4107730595389,8.03677482624314,55.5657790384279,5.96608308052933,38.3690977914494,49.5996979252122,6.06512068293189,70.8000030517578,658.666281651243,31.553988,-26.617029,413.881991368775,877.469869303295,0.235916369734412
"SWZ","SZ",4684,45442,45442,16627,1,,,2015,,,50,0,50,0,50,0,1,14165,0,0,0,0,691.166105896595,18,18,18,19,80.6726783655731,61.2311635979259,11.7298921572119,19.4415184615986,7.59742789477094,55.0729149408374,9.81414457975535,27.7142400202921,45.2587691396403,17.2128454145407,49.7999992370605,979.00021867632,31.0026074,-26.7515205,450.647418129304,873.64383963042,0.25809743489485
"SWZ","SZ",4682,45413,45413,16617,3,,,2015,,,50,0,50,2,50,0,1,14017,0,0.04,0,0.0377358490566038,4606.52356583401,19,19,19,20,83.9218050241117,66.1544437987293,10.304234493835,17.7673627147957,5.77396026336645,65.3972535062454,35.9125792498096,4.31318333856207,29.484674294292,30.2895625470251,70,427.81589125122,31.435674,-26.007904,387.765207231154,889.78996467739,0.217914850121213
"SWZ","SZ",4685,45458,45458,16717,3,,,2015,,,50,0,50,0,50,0,1,14237,0,0,0,0,3892.25081260551,20,20,20,21,86.1232318336217,64.2280197066014,9.14005916985499,21.8952099187787,4.73670907254642,74.6133823578146,38.7029719115546,12.0124572972839,35.9104105757538,13.374161633073,75.9000015258789,907.660035526392,31.274138,-27.225917,393.164942893117,848.73302896586,0.231560731616017
"SWZ","SZ",4684,45439,45439,16566,3,,,2015,,,48,0,48,0,48,0,1,14147,0,0,0,0,4969.84352110923,21,21,21,22,83.9312898603044,63.7107635157132,11.2340940440358,20.2205270107827,4.83461421036444,84.557488774087,8.72939341875016,8.29418779728861,75.8280959600605,7.14832261515102,19.4414467733985,1187.88675344643,30.862597,-26.480796,540.429205889935,826.187868243415,0.32749349403106
"SWZ","SZ",4683,45421,45421,16485,3,,,2015,,,48,3,48,6,48,0,1,14057,0.0625,0.125,0,0.169516509433962,7178.97567582994,22,22,22,23,77.0140609845021,56.9497385151974,15.624307195335,20.0643245415746,7.36163175391732,71.0320062550354,18.230686342325,23.8273956086627,52.8013216454785,5.14059408871933,31.5,310.160863999984,31.8598,-26.9658,309.226383404379,861.779394206065,0.179339046867367
