"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation","longitude","latitude","AnnualPrecip","AnPET","AridityIndex"
"UGA","UG",5151,49734,49734,,1,,,2009,5,18,62,0,62,0,62,0,1,29805,0,0,0,0,0,1,1,2,2,58.5425672561743,58.4793478741652,31.6377322628,0.0632183755518002,9.81970052941103,53.419707411879,45.8285532354793,21.4999813655581,7.59115429909132,25.0803122541944,23.0523420693534,1013.03254999858,32.3659072,3.1615112,647.7790918985,981.43108442114,0.329933068910166
"UGA","UG",5151,49734,49734,17301,1,,,2008,,,63,0,63,0,63,0,1,16577,0,0,0,0,0,2,2,1,2,57.1340257691834,57.0712224635517,32.4474084151207,0.0628015784079429,10.4185651993753,52.8897146439607,45.5195264305119,21.6982063035096,7.37018683699147,25.4120790733178,22.3260277682713,1013.03254999858,32.3659072,3.1615112,647.7790918985,981.43108442114,0.329933068910166
"UGA","UG",5131,49714,49714,58383,3,,,2007,,,182,15,182,2,182,1,1,16310,0.0824175824175824,0.010989010989011,0.00549450549450549,0.0919690230638457,212.089709038473,3,3,3,3,74.2803832218327,74.2051128869643,22.9477394088814,0.0752716445695598,2.77187591714445,60.1593859677041,56.0566998715149,2.07038619701652,4.10269082561739,37.7702233643603,173.225014268466,1142.7868491776,33.22443,2.1428399,672.788826464225,959.405750616885,0.350569606387338
"UGA","UG",5131,49714,49714,58384,1,,,2012,,,61,0,61,0,61,0,1,16318,0,0,0,0,212.089709038473,4,4,4,4,81.6588622954383,81.6012113389633,16.8596066326624,0.0576541323265219,1.48152973641654,71.5995033546601,65.760248662036,1.38554570661817,5.8392519808579,27.0149508302404,190.662054169677,1143.41156732172,33.2236838,2.1445917,672.788826464225,959.405750616885,0.350569606387338
"UGA","UG",5125,,84,,4,,,2002,5,16,56,38,56,2,56,0,2,29178,0.678571428571429,0.0357142857142857,0,0.650991528686946,4936.89472849106,5,5,5,5,62.8319256893186,62.7493899168688,12.8779209267186,0.0825355916353873,24.2901513934124,93.6988852840458,36.7373395889779,3.07107936232381,56.9615451995567,3.2300347832248,94.1313660153214,1051.06472,32.877201,1.6395,653.23613378023,918.3172712814,0.355699811898956
"UGA","UG",5126,49709,49709,17128,3,,,2013,,,50,0,50,0,50,0,1,16187,0,0,0,0,1020.88237622768,6,6,6,6,62.2044236080588,62.1189109894471,30.5309311989702,0.0855121290979212,7.26464591971234,94.5277866387163,92.8260168231541,0.598283319656803,1.70176993523247,4.87392962500348,103.372340951102,1146.24953999999,33.566667,2,663.32939818481,955.07131225756,0.34717829285269
"UGA","UG",5219,49802,49802,59261,1,,,2012,,,63,2,63,1,63,0,1,17843,0.0317460317460317,0.0158730158730159,0,0.0444482475030543,5166.90510711413,9,9,9,8,84.0191108108293,83.9256280050248,6.41801449660204,0.0934846286722088,9.56287382237177,88.1586226169381,82.6267363449153,3.66199839637313,5.53188374077991,8.17938108899087,214.75245955113,1052.22239192589,32.6863681,2.3160602,666.0242220337,945.62666725563,0.35204726467845
"UGA","UG",5126,49709,49709,17129,3,,,2013,,,50,0,50,0,50,0,1,16191,0,0,0,0,3196.96067132362,10,10,10,9,95.454892410056,95.3495168464317,2.91640662171902,0.105373301924148,1.62870317582374,93.2630297966677,86.0242834908769,2.17780057501227,7.23874711508164,4.55916805802062,103.372340951102,1101.93128896,33.61003,1.97602,639.250666278985,966.33736135609,0.330676581231913
"UGA","UG",5220,49803,49803,17840,3,,,2012,,,57,1,57,0,57,0,1,17855,0.0175438596491228,0,0,0.0165508109897385,3810.87985100867,13,13,13,11,67.0001873211244,66.946205152543,21.6250149922048,0.053979869916997,11.3747975980095,71.4607844658462,63.3013052775522,14.1541335046665,8.1594777734193,14.3850827597503,85.3171726869856,1041.03479520003,33.23411,2.40515,643.066352435655,974.0394754501,0.32998709190517
"UGA","UG",5131,49714,49714,,3,,,2005,5,16,75,16,75,0,75,1,2,30868,0.213333333333333,0,0.0133333333333333,0.211153039832285,1866.24176615569,16,16,16,13,64.6465790505468,64.5669731079046,22.8788252729349,0.0796066699733506,12.474594427999,31.5778676504401,28.7144746013141,10.5277166328249,2.86339249098386,57.8944144343951,145.300003051758,1103.720416,33.3731,2.1628,677.88235476196,957.177785235025,0.354051093069769
"UGA","UG",5140,49723,49723,,3,,,2009,5,18,57,11,57,0,57,0,1,29834,0.192982456140351,0,0,0.182058920887123,8500.31286950106,17,17,17,14,79.1770141810324,79.0552188604213,10.2619560622354,0.121792592581342,10.561033849609,64.3334383950492,48.9663890321003,4.41508097270095,15.3670502908597,31.2514820815386,228.789834714053,1209.63994041598,34.023701,0.41391,691.596283793165,899.547338396645,0.384396075192612
"UGA","UG",5231,49814,49814,17946,1,,,2008,,,65,15,65,0,65,0,1,18050,0.230769230769231,0,0,0.217706821480406,0,18,18,486,15,58.5289207507376,57.7122549064027,29.0462006580065,0.816666138313956,12.4248783827184,91.2750098445576,66.2049897259396,0.391241632644138,25.0700255950309,8.33374579934602,1021.04539586613,1222.13319569595,34.18085,0.6782274,727.998104508295,915.622108795875,0.397468874171517
"UGA","UG",5130,49713,49713,,3,,,2009,5,18,60,0,60,0,60,0,1,29828,0,0,0,0,3.22826523240656,19,19,19,16,68.5815382478545,68.4629026874269,19.0245166432522,0.118635021638088,12.3939464823051,98.53723421204,91.6973028361966,0.823427285121715,6.83992818284056,0.639340322672457,62.8588848656221,1055.96493664,33.146301,2.7914,604.268491402165,990.97905157116,0.304794806223957
"UGA","UG",5222,49805,49805,17848,3,,,2008,,,62,0,62,0,62,0,1,17896,0,0,0,0,3.22826523240656,20,20,20,17,67.0592756001706,66.9414710685927,19.6751110601407,0.117809779521863,13.2656110236883,98.3919383326139,91.7882545042991,0.902945942288427,6.60368198374838,0.705117865767607,61.7604655906684,1055.9679712,33.14633,2.7914,604.268491402165,990.97905157116,0.304794806223957
"UGA","UG",5128,49711,49711,17170,3,,,2012,,,61,0,61,0,61,0,1,16247,0,0,0,0,3669.19315186196,25,25,25,20,84.2266228215539,84.1673404899008,9.96145058410082,0.0592848037716331,5.8119253172102,71.4506774838204,69.0376911544632,13.3031190268019,2.41298921222221,15.2462033467067,132.201516316005,1054.20181269759,32.60387,2.0090301,638.67851731799,929.15410102383,0.343613619953792
"UGA","UG",5131,49714,49714,58386,3,,,2007,,,180,5,180,1,180,0,1,16315,0.0277777777777778,0.00555555555555556,0,0.0313009550430934,165.119517457144,26,26,26,21,67.4355633260318,67.3581761364665,28.7855665625505,0.0773885768897784,3.77887201659355,83.3123340418271,80.5262855832472,0.352600765304471,2.78604836358478,16.3350637122116,125.972794869559,1130.82563136001,33.202419,2.1859,672.788826464225,959.405750616885,0.350569606387338
"UGA","UG",5233,49816,49816,59409,3,,,2008,,,226,38,226,0,226,0,1,18116,0.168141592920354,0,0,0.158624144264485,3667.19205114545,28,28,28,23,63.3507233921197,63.263142423222,23.8363492956613,0.087581155591318,12.8129254591447,56.2884553890679,47.8204856610394,37.7539916796123,8.46797012098675,5.95755603219702,71.3712840903146,931.636628000005,31.24619,3.56665,668.490982670915,1001.01080183772,0.333816352379992
"UGA","UG",5222,49805,49805,,1,,,2009,5,18,63,0,63,0,63,0,1,29705,0,0,0,0,0,29,29,30,24,55.135850994212,55.0499616412122,29.113957347892,0.0858929819644648,15.7501886455654,89.641384687686,79.9862434016774,4.08571770144132,9.65514585043019,6.27289495594459,93.4571755169753,978.164695346238,32.9127726,3.1418571,609.48705220971,994.67305898906,0.306280022212305
"UGA","UG",5222,49805,49805,17849,1,,,2008,,,65,0,65,0,65,0,1,17902,0,0,0,0,0,30,30,29,24,53.9057915027912,53.8204883647719,29.6289214868962,0.0853008546818805,16.4652899829215,89.2601292372915,79.8978971972106,4.21669131957875,9.36223076523706,6.52317890987946,91.727699658393,978.164695346238,32.9127726,3.1418571,609.48705220971,994.67305898906,0.306280022212305
"UGA","UG",5219,49802,49802,59262,3,,,2007,,,183,84,183,2,183,0,1,17844,0.459016393442623,0.0109289617486339,0,0.438612059042761,13160.1333939926,31,31,31,25,63.6390043885975,63.5639538759843,22.322495324089,0.0750517455694495,14.0384976645028,37.7540978642834,33.4419250768164,26.7658717125014,4.3121745027278,35.4800297276348,114.82399672154,1091.94084785599,32.25848,2.3884699,659.41124557877,932.654217590475,0.353386750944819
"UGA","UG",5227,49810,49810,17939,3,,,2005,,,34,13,34,0,34,0,2,17994,0.382352941176471,0,0,0.360710321864595,9696.68776327087,32,32,32,26,39.7932035066011,39.7194447541107,24.5262199329021,0.0737585538031253,35.6805762544983,85.1970660155312,82.5038392975886,4.17802171771912,2.69322733081832,10.6249103327472,151.100006103516,1049.694197568,33.47148,1.398591,625.46366623446,921.161948074695,0.339460458714232
"UGA","UG",5215,49798,49798,,3,,,2005,5,16,65,21,65,0,65,0,2,30953,0.323076923076923,0,0,0.304789550072569,5450.93043398187,33,33,33,27,51.8587720328293,51.7618820449275,32.6391218364793,0.0968907970721784,15.502104981944,98.4425126991345,93.2724777396169,0.749437918452862,5.17003837236993,0.808047920354895,133.964678275575,1057.01981359999,33.785702,1.66425,637.19907333955,957.88390321315,0.332701478880677
"UGA","UG",5221,49804,49804,59276,3,,,2011,,,50,0,50,0,50,0,1,17879,0,0,0,0,4770.01958971006,35,35,35,29,82.3852919904689,82.3136760389751,8.55824530173217,0.0716154096807745,9.056461420604,96.785700724331,95.59622762721,0.270148702056814,1.18947045595617,2.94415172621263,426.029725246367,1070.640285168,33.675499,1.25299,660.65821586215,924.31830448552,0.357520433073763
"UGA","UG",5171,49754,49754,58799,1,,,2010,,,59,3,59,0,59,0,1,17050,0.0508474576271186,0,0,0.0479692996482251,2484.37405622032,40,40,40,32,77.1215050395756,76.9927906604011,18.1003472197295,0.128712192203724,4.77814956655797,66.970094810645,66.197578317564,5.88337406040015,0.772513535615895,27.1465309117949,328.194169253432,1004.55766931777,31.0622957,3.3859933,714.114489994455,983.568223242755,0.363041960159482
"UGA","UG",5131,49714,49714,17121,1,,,2012,,,61,0,61,0,61,0,1,16326,0,0,0,0,2747.27667249418,41,41,41,33,87.8522653086304,87.7992433606663,7.54801323867808,0.0530206794129376,4.59972138561381,71.1565166814099,66.048950652284,5.54427017968107,5.10756268668067,23.2992144916947,175.135136434549,1141.87725999999,33.2140971,2.0974511,700.675583033865,945.87639526722,0.370303421609158
"UGA","UG",5176,49759,49759,,3,,,2006,9,15,60,8,60,1,60,6,1,31122,0.133333333333333,0.0166666666666667,0.1,0.219811320754717,1591.51774610586,43,43,43,35,77.0409927368164,75.0640296936035,6.65058577060699,1.97696149349213,16.3084232807159,95.2900505065918,20.8871603012085,0.0611431677825749,74.4028911590576,4.64880454540253,7462.65710574777,1140.159992,32.634899,0.255,673.56812284495,767.83734899292,0.438644943155823
"UGA","UG",5129,49712,49712,58348,3,,,2011,,,50,0,50,0,50,0,1,16282,0,0,0,0,1001.42484292093,44,44,44,36,62.143471619317,62.0713319120068,30.5026135354461,0.0721420641239749,7.35391317880828,47.189447709512,43.7602849556909,24.4407056293946,3.42916328687159,28.3698474540553,82.6082889116437,632.254131663998,31.40896,2.9975801,554.87087207999,989.409916990345,0.280307412944093
"UGA","UG",5229,49812,49812,17919,1,,,2011,,,50,0,50,0,50,0,1,18021,0,0,0,0,10437.1376273938,49,49,49,39,61.3999290941172,61.2789806297185,29.8190800080158,0.120949350198424,8.78099160835409,86.6781711078974,84.5600559685081,0.989031444639476,2.11811409399535,12.332797691112,170.646378421455,1077.35403632643,33.45528,1.4970088,632.417874650845,947.28823560338,0.333712887216774
"UGA","UG",5221,49804,49804,17864,1,,,2008,,,58,0,0,0,0,0,1,17874,0,,,,867.457127607127,50,50,50,40,79.2246261389026,79.1299523201329,11.1159859113594,0.0946764155697586,9.65938700720018,99.579500013619,97.2093572716514,0.0375203916103024,2.37014334054361,0.382979829076823,327.370795438416,1073.44386600959,33.708574,1.288154,704.02817972946,910.96948074951,0.386358528888684
"UGA","UG",5173,49756,49756,,3,,,2009,5,18,58,0,58,0,58,0,1,29763,0,0,0,0,0,51,51,52,41,1.67139342733949,1.6687850214733,0.583112887398914,0.00260841898880117,0.518192681238014,2.1471966852189,2.02899426354965,0.0791753123133613,0.118202331528507,0.546327038138796,264.433154279436,1057.6408352,33.9148,1.60301,588.139982982215,953.670127161645,0.308383093162606
"UGA","UG",5173,49756,49756,17581,3,,,2008,,,0,0,58,0,58,0,1,17067,,0,0,,0,52,52,51,41,1.62884413808095,1.62625394454913,0.595940692613665,0.00259024483655921,0.547914160496514,2.11391562585757,2.00289118444771,0.0826841816103953,0.111024457039198,0.57609913924324,256.399438424247,1057.6408352,33.9148,1.60301,588.139982982215,953.670127161645,0.308383093162606
"UGA","UG",5229,49812,49812,59352,1,,,2011,,,51,0,51,0,51,0,1,18028,0,0,0,0,867.457127607127,53,53,53,42,85.2533894432306,85.1683107202582,7.17822957731054,0.0850735598584633,7.5683829226476,99.7155987932431,96.4245557139216,0.0323061713571872,3.29104063035682,0.25209498006323,365.040022060941,1090.73318386435,33.7084594,1.2803643,704.02817972946,910.96948074951,0.386358528888684
"UGA","UG",5229,49812,49812,17921,3,,,2011,,,50,0,50,0,50,0,1,18025,0,0,0,0,813.891042008772,54,54,54,43,35.8876266479492,35.8490371704102,6.1301097869873,0.0385871268808842,7.98226594924927,33.5509376525879,23.6390018463135,8.3136568069458,9.91193294525146,8.13540840148926,192.451195992606,1039.339088,33.092,1.49599,609.369774210035,911.528811374115,0.334152935323819
"UGA","UG",5126,49709,49709,17132,1,,,2013,,,60,0,60,0,60,0,1,16182,0,0,0,0,1840.09181729794,55,55,55,44,83.4029475220235,83.1911385203253,10.5768146205012,0.211810162855303,6.02023841603319,93.7238076804287,88.767944333691,2.64838891782989,4.95586360417769,3.62780279270272,151.652338195801,1114.5626855424,33.65111,1.9914692,639.250666278985,966.33736135609,0.330676581231913
"UGA","UG",5161,49743,49743,,1,,,2005,5,16,63,7,63,0,63,0,2,30974,0.111111111111111,0,0,0.10482180293501,813.891042008772,56,56,56,45,32.3165893554688,32.2785148620605,6.9134407043457,0.0380758717656136,10.7699699401855,29.1209049224854,21.0277557373047,10.3974361419678,8.09314727783203,10.4816598892212,151.199996948242,1043.062656,33.099221,1.4971352,609.369774210035,911.528811374115,0.334152935323819
"UGA","UG",5227,49810,49810,17940,3,,,2005,,,32,7,32,0,32,0,2,17995,0.21875,0,0,0.206367924528302,5449.63712856048,57,57,57,46,60.8708530506404,60.7895943176778,25.5543599418541,0.0812573103515744,13.5747898341274,18.5935399513222,18.1004398075998,12.4239970291143,0.493100304861123,68.9824634999698,115.213769536342,1101.96463552,33.1654,1.828617,676.43010290053,942.52545390341,0.35883456991012
"UGA","UG",5127,49710,49710,17145,1,,,2013,,,60,0,60,0,60,1,1,16221,0,0,0.0166666666666667,0.0157232704402516,6694.94176047703,58,58,58,47,73.7960200365392,73.7191738614214,5.58192466611378,0.0768436554739323,20.6220547820179,82.4400219548133,81.9279419516529,1.81817100977367,0.512075362159391,15.7418100161556,125.152342660086,1056.3133438392,32.1569535,2.8949418,673.26059808114,953.93342811592,0.352787196476338
"UGA","UG",5188,49771,49771,58937,1,,,2012,,,56,0,56,0,56,0,1,17275,0,0,0,0,12790.562516057,59,59,59,48,88.4041123036834,88.3216561221139,7.10248017102354,0.082459474567348,4.49340652751725,61.7215587964052,58.3896114360868,8.88789025917252,3.33194929080559,29.3905476735134,194.888626233782,1082.08642059302,32.9393893,2.4937606,631.632430539015,965.098938537035,0.327126648444049
