"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation"
"ZAF","ZA",4471,43314,43314,56802,19.5,-33.7,1,"","",2001,,,0,0,28,1,28,7,2,18243,,0.0357142857142857,0.25,,20529.998647084,0,0,0,1,95.4990015739656,1.35091014333514,2.69766263703704,94.1480897776388,1.80333636492523,99.5402537092525,0.422162652567723,0.366390276711293,99.1180925136869,0.0933558689133017,7.40137160818917,211.999999999997
"ZAF","ZA",4463,43274,43274,,24.0611,-32.4743,3,"school","mapping",2017,5,15,37,0,37,12,37,0,1,36314,0,0.324324324324324,0,0.305966343702193,114449.736817379,1,1,1,2,95.2139804537749,4.62460191844699,0.995299666045558,90.5893821194247,3.79071868728166,74.3428036906282,6.64701512632865,16.5651035843397,67.6957938428355,9.09209237695648,287.127387126178,752.424000000001
"ZAF","ZA",4465,43283,43283,,28.1291,-25.6679,3,"school","mapping",2017,5,16,50,4,50,7,50,0,1,36360,0.08,0.14,0,0.196981132075472,6666.72059423563,2,2,2,3,88.5876925770246,13.3146653907247,1.44561778276171,75.2730295802453,9.96668745748799,99.8400170407853,2.61559071489337,0.0834904540821526,97.2244268811466,0.0764902111958023,1151.61530918143,1280.552448
"ZAF","ZA",4463,43274,43274,,26.4155,-33.6501,3,"school","mapping",2017,5,15,27,4,27,2,27,0,1,36315,0.148148148148148,0.0740740740740741,0,0.199290835209773,41907.1141416495,3,3,3,4,76.1060611010941,27.3222609970337,4.13700385574476,48.7838001612142,19.7569345343293,73.4920265103094,7.65796268704179,16.3592472163564,65.8340629092895,10.1487259209154,1741.1428527519,191.684799999989
"ZAF","ZA",4465,43280,43280,,28.5086,-26.4355,3,"school","mapping",2017,5,16,46,1,46,10,46,0,1,36321,0.0217391304347826,0.217391304347826,0,0.221136355530192,19800.3250252766,4,4,4,5,90.0177595028896,9.0418303935587,0.698324940810529,80.9759260012591,9.28391637863432,99.2088392101343,3.35574700849811,0.438825695190773,95.8530946461296,0.352334692112505,2911.2074453539,1580.73200000002
"ZAF","ZA",4469,43306,43306,,25.5884,-25.8672,3,"school","mapping",2017,5,16,35,2,35,13,35,0,1,36655,0.0571428571428571,0.371428571428571,0,0.384289564882557,4194.45278841613,10,10,10,6,68.5277470758378,38.1947800363194,0.888436159060829,30.332963330665,30.5838177131866,99.5071508640252,11.3956362305766,0.257203645095772,88.1115125834588,0.23564947704524,2317.90949510575,1260.987088
"ZAF","ZA",4463,43269,43269,,27.4429,-32.8306,3,"school","mapping",2017,5,15,48,0,48,8,48,0,1,36286,0,0.166666666666667,0,0.157232704402516,7407.93650031975,11,11,11,7,88.3583388165055,59.1433353208163,1.16787846056704,29.2150031991954,10.4737818654224,73.3276055803971,7.260240747995,16.469736309194,66.0673613741373,10.2026587530456,922.685376070291,497.837472000016
"ZAF","ZA",4465,43280,43280,,28.428,-25.9999,3,"school","mapping",2017,5,16,47,1,47,0,47,0,1,36322,0.0212765957446809,0,0,0.0200722601364914,12046.1046629665,12,12,12,8,76.9694213350864,11.3922245323337,19.6749651565366,65.5771970937028,3.35561268190776,99.7240828779111,2.08278186545767,0.147146135519162,97.6412964958146,0.128774624704801,140.218286493905,1619.43263999999
"ZAF","ZA",4469,43304,43304,,27.5345,-25.5482,3,"school","mapping",2017,5,16,50,7,50,11,50,0,1,36629,0.14,0.22,0,0.310566037735849,24429.2494923979,14,14,14,9,60.2339541273665,24.7392071905153,1.88222824359815,35.4947474760712,37.8838180425531,99.3004125375172,12.6067970015148,0.357848596609203,86.693620038596,0.341736255600434,483.983751585104,1046.2392
"ZAF","ZA",4469,43306,43306,,25.4744,-26.2016,3,"school","mapping",2017,5,16,34,0,34,11,34,0,1,36656,0,0.323529411764706,0,0.305216426193119,35492.2319170571,17,17,17,10,71.886325977038,53.6358027046425,1.58906557282448,18.2505216727748,26.5246085485376,99.5017986708249,10.2035921204647,0.25821376410048,89.2982005888097,0.239990621864677,716.446298130121,1342.454416
