"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier","improved_sewer","unpiped_sewer","surface_sewer","piped_sewer","unimproved_sewer","improved_water","unpiped_water","surface_water","piped_water","unimproved_water","p_density","elevation","longitude","latitude","AnnualPrecip","AnPET","AridityIndex"
"ZMB","ZM",5335,50876,50876,59914,1,"","",2005,,,61,51,61,0,61,0,2,18321,0.836065573770492,0,0,0.788741107330653,16654.1902260222,0,0,0,1,23.4145595464791,22.6651148404334,39.1982104579403,0.749445542786755,37.3872295953161,28.2338453564131,20.2807962065698,29.8436104642674,7.95304904271702,41.9225438174117,3.5,1126.00192001917,26.133333,-15.533333,418.808856002935,1041.91011126978,0.20094931447934
"ZMB","ZM",5339,53177,53177,59902,3,"","",2005,,,72,1,72,1,72,0,2,18354,0.0138888888888889,0.0138888888888889,0,0.0260234684369904,14020.9471378931,1,1,1,2,26.2796790874185,23.7543027352926,27.2408091534,2.52537700775531,46.47950995514,52.3036478895635,33.5136256454134,19.7848171519999,18.7900215811091,27.9115351450146,20.5,459.14624,28.7857,-16.3605,368.56870104834,1105.80258389056,0.166751385365696
"ZMB","ZM",5337,50837,50837,59871,3,"","",2002,,,54,25,54,0,54,0,2,18284,0.462962962962963,0,0,0.43675751222921,7811.17680870532,5,5,5,4,28.0329148730407,26.9630226506716,20.8018929752157,1.06989187232622,51.1651904813031,24.2304965675764,6.55570181825905,29.8713456701247,17.6747953999316,45.8981584874662,38.6299993362427,988.496557759991,32.740101,-13.3024,450.049339981493,984.21715471603,0.22858886170757
"ZMB","ZM",5335,50823,50823,59959,3,"","",2005,,,62,19,62,4,62,0,2,18260,0.306451612903226,0.0645161290322581,0,0.331317613335166,11416.563127623,6,6,6,5,20.4149975349215,20.2034428260851,27.8175444016637,0.211554255872117,51.7674592851217,35.111498610078,24.9116755421123,27.1555145084462,10.1998218813189,37.7329905115183,19.2000007629395,978.79096304,27.451799,-15.5184,404.790617847753,1048.98970151836,0.192870918485915
"ZMB","ZM",5342,50877,50877,59936,3,"","",2005,,,61,0,61,1,61,0,2,18330,0,0.0163934426229508,0,0.0154655119084442,3483.30637541646,8,8,8,6,22.2297649095029,20.4906756400375,24.3599055216527,1.73908911764209,53.4103286190868,28.0465596178988,13.3869201980643,39.14302104064,14.6596397309902,32.8104206264985,17.2000007629395,1113.851712,26.2894,-16.5011,398.190730742715,1070.78268279717,0.185873273449884
"ZMB","ZM",5337,50837,50837,59872,3,"","",2002,,,53,26,53,0,53,0,2,18275,0.490566037735849,0,0,0.462798148807405,8138.7508205186,9,9,9,7,21.8275822053994,19.9437894734646,12.890618509474,1.88379218473728,65.2818013475167,6.99093713582982,4.30818294248701,59.7590652441439,2.68275417989489,33.2499963360256,38.6299993362427,1017.89088704,32.686901,-13.3512,455.669373476578,988.00658777722,0.230593745347133
"ZMB","ZM",5342,50874,50874,59904,3,"","",2005,,,61,4,61,0,61,0,2,18306,0.0655737704918033,0,0,0.0618620476337767,18496.0622828873,10,10,10,8,18.552001980632,16.573159118877,23.4338032430747,1.97884172162885,58.0141931630332,34.281494858995,20.8507412467481,27.4099637212107,13.4307541532916,38.3085411728381,27.8680978943539,1286.49103232,27.194599,-16.7936,411.146439192434,998.32653302768,0.205861787358514
"ZMB","ZM",5337,50837,50837,59873,3,"","",2002,,,66,36,66,1,66,0,2,18289,0.545454545454545,0.0151515151515152,0,0.521076979052965,6054.53259842858,12,12,12,9,28.6143246550723,26.6433780456275,26.4317261136892,1.97094607249441,44.953950545184,15.4097339779752,7.9586524512165,22.7347985591508,7.45108140452983,61.8554689714295,49.8560935345139,1044.6944,32.3386,-13.8725,506.37314898318,1008.78871953253,0.250932164629718
"ZMB","ZM",5337,50837,50837,59874,3,"","",2002,,,45,27,45,1,45,1,2,18281,0.6,0.0222222222222222,0.0222222222222222,0.582622874446774,8308.23121393943,13,13,13,10,17.6967872064718,17.6585442995617,13.4944094026073,0.0382427991750871,68.808799634996,3.98919074544436,2.70376755053337,17.7061499522753,1.28542325168599,78.3046630340936,38.6299993362427,995.924360000004,32.763401,-13.2175,451.68156208188,949.48176616097,0.237773779985356
"ZMB","ZM",5337,50837,50837,59875,1,"","",2002,,,60,33,60,0,60,2,2,18264,0.55,0,0.0333333333333333,0.533018867924528,633.978740315232,14,14,14,11,44.2101917187596,43.5009068253546,2.74724747925953,0.709283435013434,53.0425588121988,86.4535366912936,5.37718821351959,0.133339936638004,81.0763453386323,13.4131226324109,217.577997314453,1144.24599155956,32.6447001,-13.6445104,489.894114191525,957.47689155827,0.255973303314679
"ZMB","ZM",5337,50837,50837,59876,3,"","",2002,,,40,12,40,0,40,0,2,18261,0.3,0,0,0.283018867924528,3732.42517451685,15,15,15,12,21.7197842789824,19.1509744942682,19.6197647450752,2.56881056855047,58.6604534214857,30.9820015551895,21.8780899876536,16.0099350276967,9.10391182634622,53.0080635580981,38.6299993362427,1064.75589184001,32.857201,-13.4181,450.513322607927,941.85134758017,0.23913998157732
"ZMB","ZM",5342,50877,50877,59937,3,"","",2005,,,58,4,58,0,58,0,2,18332,0.0689655172413793,0,0,0.0650618087182824,6973.3796341689,16,16,16,13,22.2160119836837,20.835653176386,21.9736797978384,1.38035933643784,55.8103074259243,27.3366017023266,15.1595810295215,67.2685561262895,12.1770207555733,5.39484266702481,17.5,1271.863904,26.3403,-17.0468,381.498161281731,1050.48610914875,0.181513799695558
"ZMB","ZM",5342,53186,53186,59966,3,"","",2005,,,60,4,60,0,60,1,2,18358,0.0666666666666667,0,0.0166666666666667,0.0775681341719077,14089.4231818623,17,17,17,14,30.7658581187672,30.275163641473,65.8874020853162,0.490696823983451,3.34674029536419,37.4245484097463,17.7767838957709,39.701208050435,19.6477645128021,22.8742451741522,29.2000007629395,1148.336,27.4375,-16.7748,411.318269235046,1024.46357294396,0.200680078734505
"ZMB","ZM",5335,50876,50876,59915,3,"","",2005,,,55,11,55,0,55,0,2,18318,0.2,0,0,0.188679245283019,8734.30318109026,18,18,18,15,18.6725296718194,18.4899237272305,37.8329769264391,0.1826049055038,43.4944939486671,36.6084847696938,18.3571298621961,28.3735812940979,18.2513543022367,35.0179344165272,3.5,1081.234496,26.3098,-16.2154,402.731893298754,1070.68300953766,0.188001612873445
"ZMB","ZM",5342,50874,50874,59905,3,"","",2005,,,59,3,59,0,59,0,2,18302,0.0508474576271186,0,0,0.0479692996482251,12061.1897142153,19,19,19,16,21.5714876023948,18.3279835637504,4.24960533163399,3.2435037624552,74.1789052351701,38.8492919450972,16.441829786628,28.4941621847234,22.407463103336,32.6565461817093,23.7000007629395,1148.9808,26.9285,-16.4495,404.729971446565,1022.84042387766,0.197781696279608
"ZMB","ZM",5337,50837,50837,59877,3,"","",2002,,,63,31,63,2,63,1,2,18286,0.492063492063492,0.0317460317460317,0.0158730158730159,0.486787729189931,633.978740315232,20,20,20,17,42.4630876336838,41.8068939983016,3.08925689337331,0.656192152275604,54.4476532207521,80.7036618009399,5.85162863045598,0.373867721277716,74.8520303636005,18.9224703253764,217.577997314453,1142.92443008,32.643501,-13.6391,489.894114191525,957.47689155827,0.255973303314679
"ZMB","ZM",5342,50877,50877,59938,3,"","",2005,,,61,4,61,0,61,0,2,18329,0.0655737704918033,0,0,0.0618620476337767,12344.0148204394,21,21,21,18,22.3716449585731,21.1950172840499,24.8948901637825,1.17662785716066,52.7334646982142,38.73760162959,18.4684072924683,32.8829895101124,20.2691931247721,28.379408374332,17.5,1237.93683199999,26.3277,-17.1521,380.015174943532,1050.9416796188,0.180729747887252
"ZMB","ZM",5335,50876,50876,59916,3,"","",2005,,,59,15,59,2,59,0,2,18317,0.254237288135593,0.0338983050847458,0,0.263695641569057,3693.92078249914,22,22,22,19,20.0492260806078,19.2452661932123,24.916413569853,0.80396066201352,55.0343588229346,38.5115455195069,19.2913481685474,28.5389357407296,19.220197156453,32.9495183139917,3.5,1035.06632,26.0542,-16.0468,394.402189812922,1075.49328329297,0.183294013212647
"ZMB","ZM",5342,50878,50878,59946,3,"","",2005,,,62,6,62,0,62,0,2,18338,0.0967741935483871,0,0,0.0912964090079123,21520.754798996,23,23,23,20,16.6118602781932,14.8765224154828,34.3611786316671,1.73533754809077,49.0269610905381,26.3943464238915,16.2201915249736,67.3196571859483,10.174155190507,6.28599653640488,4.69999980926514,1059.179248,25.5044,-17.2594,355.426619077586,1149.43465913199,0.154560264057481
"ZMB","ZM",5342,50880,50880,59954,3,"","",2005,,,59,14,59,0,59,0,2,18339,0.23728813559322,0,0,0.223856731691717,2488.95911771444,24,24,24,21,21.5759332179243,20.8347765184857,24.8409703649602,0.741158103890487,53.5830927343745,40.8490700398252,22.6357996210442,26.3547708536894,18.2132691313036,32.7961587575376,27.4976268871078,978,27.556101,-15.487,396.415234465639,1041.75482868255,0.190194559194598
